id,sex,deg,yrdeg,field,startyr,first_associate_year,ever_promoted,associate_cohort_bin,assoc_year_centered,promotion_year,associate_year_before_promotion,salary_before_promotion,salary_at_promotion,salary_change_at_promotion
261,F,PhD,70,Other,72,84,1,"(80, 85]",-0.3008130081300777,91,84.0,3016.0,4945.0,1929.0
269,M,PhD,76,Other,80,84,1,"(80, 85]",-0.3008130081300777,88,,,4944.0,
271,M,PhD,75,Other,80,85,1,"(80, 85]",0.6991869918699223,90,89.0,4456.0,4844.776,388.77599999999984
291,M,PhD,78,Prof,81,84,1,"(80, 85]",-0.3008130081300777,89,85.0,4135.0,6940.0,2805.0
295,M,PhD,72,Prof,72,78,1,"(75, 80]",-6.300813008130078,88,76.0,1487.0,4731.0,3244.0
296,M,PhD,72,Other,80,80,1,"(75, 80]",-4.300813008130078,82,81.0,3943.0,4235.0,292.0
298,M,PhD,76,Prof,84,84,1,"(80, 85]",-0.3008130081300777,90,,,5947.0,
299,F,PhD,77,Arts,76,84,1,"(80, 85]",-0.3008130081300777,93,92.0,5318.0,5878.0,560.0
300,M,PhD,64,Prof,67,76,1,"(75, 80]",-8.300813008130078,77,,,2543.077,
302,F,PhD,58,Arts,68,76,1,"(75, 80]",-8.300813008130078,87,,,3559.0,
305,M,PhD,73,Other,70,76,1,"(75, 80]",-8.300813008130078,79,78.0,2478.0,2917.0,439.0
306,M,PhD,70,Other,78,79,1,"(75, 80]",-5.300813008130078,84,81.0,2681.25,3962.0,1280.75
309,F,PhD,73,Other,75,81,1,"(80, 85]",-3.3008130081300777,86,85.0,3152.0,4023.0,871.0
312,F,PhD,81,Other,86,89,1,"(85, 90]",4.699186991869922,93,86.0,2980.0,5242.0,2262.0
315,F,PhD,81,Arts,85,89,1,"(85, 90]",4.699186991869922,94,93.0,4812.0,5095.0,283.0
320,M,PhD,67,Other,69,76,1,"(75, 80]",-8.300813008130078,78,76.0,1875.0,2256.0,381.0
324,M,PhD,64,Arts,67,76,1,"(75, 80]",-8.300813008130078,81,80.0,3084.0,3667.0,583.0
325,M,PhD,71,Other,75,80,1,"(75, 80]",-4.300813008130078,84,83.0,2939.394,3197.0,257.6060000000002
327,M,PhD,65,Other,67,76,1,"(75, 80]",-8.300813008130078,77,76.0,1839.0,2216.0,377.0
328,M,PhD,73,Arts,73,79,1,"(75, 80]",-5.300813008130078,88,87.0,3409.0,3877.0,468.0
331,M,PhD,68,Other,68,76,1,"(75, 80]",-8.300813008130078,78,77.0,2176.0,2337.0,161.0
339,M,PhD,71,Other,79,79,1,"(75, 80]",-5.300813008130078,82,,,2917.0,
340,M,PhD,68,Prof,76,79,1,"(75, 80]",-5.300813008130078,90,89.0,3913.0,4155.0,242.0
341,M,PhD,77,Prof,77,81,1,"(80, 85]",-3.3008130081300777,85,82.0,3137.0,4256.0,1119.0
344,M,PhD,71,Other,73,78,1,"(75, 80]",-6.300813008130078,85,78.0,1887.0,2931.0,1044.0
349,F,PhD,59,Other,71,76,1,"(75, 80]",-8.300813008130078,82,81.0,3322.0,3417.0,95.0
350,M,PhD,69,Prof,76,76,1,"(75, 80]",-8.300813008130078,80,79.0,2454.0,2732.0,278.0
351,M,PhD,74,Other,71,78,1,"(75, 80]",-6.300813008130078,85,81.0,3228.0,4626.0,1398.0
356,M,PhD,72,Other,72,76,1,"(75, 80]",-8.300813008130078,80,,,2761.0,
360,M,PhD,83,Prof,87,89,1,"(85, 90]",4.699186991869922,92,,,6590.0,
361,M,PhD,72,Other,74,80,1,"(75, 80]",-4.300813008130078,85,77.0,1608.0,3434.0,1826.0
364,M,PhD,71,Other,71,76,1,"(75, 80]",-8.300813008130078,88,87.0,4105.0,4347.0,242.0
365,M,PhD,67,Other,73,76,1,"(75, 80]",-8.300813008130078,79,78.0,2757.0,3344.776,587.7759999999998
368,M,PhD,79,Other,79,85,1,"(80, 85]",0.6991869918699223,92,91.0,4951.0,5318.0,367.0
380,F,PhD,74,Other,80,85,1,"(80, 85]",0.6991869918699223,92,84.0,2577.0,4806.0,2229.0
387,F,PhD,76,Other,79,85,1,"(80, 85]",0.6991869918699223,91,85.0,3059.0,4875.0,1816.0
390,M,PhD,76,Prof,83,86,1,"(85, 90]",1.6991869918699223,91,87.0,4538.0,6496.0,1958.0
394,M,PhD,68,Other,80,80,1,"(75, 80]",-4.300813008130078,81,,,4000.0,
396,M,PhD,71,Arts,72,76,1,"(75, 80]",-8.300813008130078,77,,,2216.0,
397,F,PhD,74,Other,74,80,1,"(75, 80]",-4.300813008130078,87,84.0,3243.0,4410.0,1167.0
398,M,PhD,81,Other,87,88,1,"(85, 90]",3.6991869918699223,91,,,5242.0,
405,M,PhD,74,Prof,75,79,1,"(75, 80]",-5.300813008130078,83,82.0,2798.0,3125.0,327.0
407,M,PhD,79,Other,86,88,1,"(85, 90]",3.6991869918699223,91,,,5712.0,
411,M,PhD,73,Other,76,78,1,"(75, 80]",-6.300813008130078,84,77.0,1828.0,3795.0,1967.0
417,M,PhD,70,Other,79,79,1,"(75, 80]",-5.300813008130078,92,79.0,2094.0,5712.0,3618.0
418,M,PhD,82,Other,91,91,1,"(90, 95]",6.699186991869922,93,92.0,5236.0,5544.0,308.0
419,M,PhD,78,Prof,78,84,1,"(80, 85]",-0.3008130081300777,91,85.0,3962.0,6404.0,2442.0
422,F,PhD,76,Other,76,82,1,"(80, 85]",-2.3008130081300777,92,89.0,4027.0,5192.0,1165.0
425,M,PhD,79,Other,87,87,1,"(85, 90]",2.6991869918699223,94,,,5318.0,
426,M,PhD,74,Other,87,87,1,"(85, 90]",2.6991869918699223,91,90.0,3981.0,4166.0,185.0
430,M,PhD,69,Prof,75,76,1,"(75, 80]",-8.300813008130078,80,79.0,3079.0,3398.0,319.0
438,M,PhD,77,Prof,76,82,1,"(80, 85]",-2.3008130081300777,88,87.0,3990.0,4165.0,175.0
443,M,PhD,66,Other,69,76,1,"(75, 80]",-8.300813008130078,79,77.0,2337.0,2627.0,290.0
446,M,PhD,75,Other,75,81,1,"(80, 85]",-3.3008130081300777,86,85.0,2651.0,3242.0,591.0
450,M,PhD,64,Arts,67,76,1,"(75, 80]",-8.300813008130078,86,85.0,3386.0,3640.0,254.0
453,F,PhD,80,Prof,83,88,1,"(85, 90]",3.6991869918699223,94,,,7078.0,
461,M,PhD,77,Other,82,86,1,"(85, 90]",1.6991869918699223,89,,,4718.0,
462,M,PhD,83,Other,82,88,1,"(85, 90]",3.6991869918699223,93,92.0,4881.0,7283.0,2402.0
463,M,PhD,72,Other,72,77,1,"(75, 80]",-7.300813008130078,83,81.0,2943.0,4096.0,1153.0
467,M,PhD,69,Other,72,76,1,"(75, 80]",-8.300813008130078,82,81.0,2625.373,2917.0,291.62699999999995
468,M,PhD,67,Other,66,76,1,"(75, 80]",-8.300813008130078,82,,,2876.0,
473,M,PhD,82,Other,82,90,1,"(85, 90]",5.699186991869922,95,,,8049.0,
475,M,PhD,67,Other,72,76,1,"(75, 80]",-8.300813008130078,82,79.0,2627.0,3275.0,648.0
480,M,PhD,70,Other,66,76,1,"(75, 80]",-8.300813008130078,82,,,3322.0,
482,M,PhD,71,Prof,79,79,1,"(75, 80]",-5.300813008130078,83,80.0,3011.0,4220.0,1209.0
484,M,PhD,80,Other,84,84,1,"(80, 85]",-0.3008130081300777,91,90.0,8029.0,8896.0,867.0
492,M,PhD,77,Prof,77,82,1,"(80, 85]",-2.3008130081300777,90,82.0,3005.0,6826.866,3821.866
494,M,PhD,67,Prof,78,84,1,"(80, 85]",-0.3008130081300777,89,88.0,3986.0,4515.0,529.0
496,M,PhD,77,Prof,78,82,1,"(80, 85]",-2.3008130081300777,87,,,4669.0,
498,M,PhD,75,Prof,76,82,1,"(80, 85]",-2.3008130081300777,86,82.0,2532.0,3854.0,1322.0
500,M,PhD,69,Other,68,76,1,"(75, 80]",-8.300813008130078,93,83.0,2787.0,4812.0,2025.0
501,M,PhD,82,Other,83,88,1,"(85, 90]",3.6991869918699223,92,83.0,3605.0,9693.0,6088.0
502,M,PhD,69,Other,74,76,1,"(75, 80]",-8.300813008130078,80,,,3011.0,
503,F,PhD,68,Other,72,80,1,"(75, 80]",-4.300813008130078,86,85.0,3333.0,3741.333,408.3330000000001
504,F,PhD,81,Arts,89,89,1,"(85, 90]",4.699186991869922,93,,,5242.0,
510,M,PhD,70,Other,73,76,1,"(75, 80]",-8.300813008130078,78,77.0,2140.0,2332.0,192.0
512,M,PhD,81,Arts,91,91,1,"(90, 95]",6.699186991869922,93,92.0,4812.0,6590.0,1778.0
513,M,PhD,83,Other,89,89,1,"(85, 90]",4.699186991869922,93,92.0,5022.0,5394.0,372.0
514,F,PhD,74,Other,79,79,1,"(75, 80]",-5.300813008130078,88,86.0,4316.0,6707.0,2391.0
517,F,PhD,66,Arts,80,85,1,"(80, 85]",0.6991869918699223,94,93.0,5022.0,5168.0,146.0
518,M,PhD,78,Prof,78,83,1,"(80, 85]",-1.3008130081300777,89,79.0,2039.0,5763.0,3724.0
523,M,PhD,74,Prof,76,82,1,"(80, 85]",-2.3008130081300777,86,,,3854.0,
530,M,PhD,73,Prof,78,80,1,"(75, 80]",-4.300813008130078,84,,,3333.0,
532,M,PhD,65,Other,65,76,1,"(75, 80]",-8.300813008130078,79,,,2917.0,
533,M,PhD,73,Other,82,87,1,"(85, 90]",2.6991869918699223,94,,,5095.0,
537,M,PhD,81,Other,83,87,1,"(85, 90]",2.6991869918699223,92,87.0,3662.0,5472.0,1810.0
540,M,PhD,66,Other,69,76,1,"(75, 80]",-8.300813008130078,78,,,2514.0,
541,M,PhD,69,Other,69,76,1,"(75, 80]",-8.300813008130078,83,,,3077.0,
542,M,PhD,68,Other,78,78,1,"(75, 80]",-6.300813008130078,79,78.0,2870.0,3158.0,288.0
547,M,PhD,84,Prof,84,90,1,"(85, 90]",5.699186991869922,95,92.0,6223.0,6878.0,655.0
548,M,PhD,72,Other,72,77,1,"(75, 80]",-7.300813008130078,83,77.0,1854.0,2824.0,970.0
550,M,PhD,82,Other,82,88,1,"(85, 90]",3.6991869918699223,91,90.0,5010.0,5551.0,541.0
551,M,PhD,77,Other,78,82,1,"(80, 85]",-2.3008130081300777,86,80.0,2605.0,6615.0,4010.0
554,F,PhD,81,Other,84,89,1,"(85, 90]",4.699186991869922,94,93.0,6878.0,7078.0,200.0
555,M,PhD,69,Other,68,76,1,"(75, 80]",-8.300813008130078,83,80.0,2732.0,3342.424,610.424
558,M,PhD,77,Other,89,89,1,"(85, 90]",4.699186991869922,92,,,6313.0,
561,M,PhD,74,Prof,74,78,1,"(75, 80]",-6.300813008130078,83,,,3985.0,
566,M,PhD,72,Prof,78,80,1,"(75, 80]",-4.300813008130078,84,,,3381.0,
571,F,PhD,69,Other,69,76,1,"(75, 80]",-8.300813008130078,82,81.0,2755.0,3667.0,912.0
574,F,PhD,74,Other,74,80,1,"(75, 80]",-4.300813008130078,88,81.0,2855.0,4165.0,1310.0
576,M,PhD,66,Other,68,76,1,"(75, 80]",-8.300813008130078,79,78.0,2216.0,2540.0,324.0
580,M,PhD,77,Prof,86,86,1,"(85, 90]",1.6991869918699223,89,87.0,5703.0,6649.0,946.0
581,M,PhD,79,Other,83,88,1,"(85, 90]",3.6991869918699223,92,86.0,3487.0,5318.0,1831.0
585,M,PhD,69,Other,73,76,1,"(75, 80]",-8.300813008130078,79,,,2658.209,
590,M,PhD,71,Other,76,76,1,"(75, 80]",-8.300813008130078,77,,,3405.333,
594,M,PhD,70,Other,76,76,1,"(75, 80]",-8.300813008130078,90,89.0,4090.0,4405.0,315.0
595,M,PhD,68,Other,70,76,1,"(75, 80]",-8.300813008130078,84,77.0,1942.0,3386.0,1444.0
600,M,PhD,77,Other,77,82,1,"(80, 85]",-2.3008130081300777,86,84.0,3197.0,3966.0,769.0
605,F,PhD,74,Prof,86,86,1,"(85, 90]",1.6991869918699223,89,,,6555.0,
607,M,PhD,70,Other,72,76,1,"(75, 80]",-8.300813008130078,80,78.0,2925.0,3498.0,573.0
610,M,PhD,74,Other,88,88,1,"(85, 90]",3.6991869918699223,91,89.0,3970.0,4806.0,836.0
612,M,PhD,70,Prof,83,83,1,"(80, 85]",-1.3008130081300777,91,90.0,6120.0,6684.0,564.0
616,M,PhD,68,Arts,73,76,1,"(75, 80]",-8.300813008130078,84,83.0,3310.0,3636.0,326.0
619,F,PhD,70,Prof,73,76,1,"(75, 80]",-8.300813008130078,85,83.0,3505.0,4195.0,690.0
621,M,PhD,66,Other,71,76,1,"(75, 80]",-8.300813008130078,78,76.0,2258.0,2719.0,461.0
623,M,PhD,73,Arts,72,79,1,"(75, 80]",-5.300813008130078,91,90.0,3986.0,4544.0,558.0
624,M,PhD,70,Other,78,81,1,"(80, 85]",-3.3008130081300777,88,84.0,2892.0,3877.0,985.0
626,M,PhD,74,Other,85,85,1,"(80, 85]",0.6991869918699223,91,89.0,5290.0,5631.0,341.0
633,M,PhD,63,Other,75,83,1,"(80, 85]",-1.3008130081300777,94,93.0,5551.0,5712.0,161.0
636,M,PhD,75,Prof,79,82,1,"(80, 85]",-2.3008130081300777,88,83.0,2668.0,4469.0,1801.0
638,M,PhD,67,Other,67,76,1,"(75, 80]",-8.300813008130078,77,,,2296.0,
639,M,PhD,75,Other,75,84,1,"(80, 85]",-0.3008130081300777,89,88.0,3822.0,4269.0,447.0
640,M,PhD,71,Other,71,77,1,"(75, 80]",-7.300813008130078,90,,,5863.0,
644,M,PhD,67,Other,66,76,1,"(75, 80]",-8.300813008130078,81,80.0,3202.0,3217.333,15.333000000000084
645,M,PhD,65,Other,72,76,1,"(75, 80]",-8.300813008130078,77,,,2402.0,
649,M,PhD,82,Other,84,88,1,"(85, 90]",3.6991869918699223,92,87.0,3610.0,5168.0,1558.0
653,M,PhD,77,Other,78,81,1,"(80, 85]",-3.3008130081300777,91,,,7283.0,
655,F,PhD,81,Other,83,88,1,"(85, 90]",3.6991869918699223,93,83.0,2630.0,5955.0,3325.0
660,F,PhD,75,Other,83,83,1,"(80, 85]",-1.3008130081300777,91,90.0,3924.0,4411.0,487.0
664,M,PhD,69,Arts,69,76,1,"(75, 80]",-8.300813008130078,81,,,2642.0,
665,M,PhD,67,Other,67,76,1,"(75, 80]",-8.300813008130078,89,88.0,4473.0,5290.0,817.0
666,F,PhD,80,Other,80,86,1,"(85, 90]",1.6991869918699223,94,93.0,4875.0,4810.0,-65.0
669,M,PhD,71,Other,75,80,1,"(75, 80]",-4.300813008130078,85,83.0,3309.0,3742.0,433.0
675,M,PhD,59,Arts,61,76,1,"(75, 80]",-8.300813008130078,88,87.0,3266.0,3877.0,611.0
677,M,PhD,82,Other,85,87,1,"(85, 90]",2.6991869918699223,90,,,4869.0,
678,F,PhD,71,Other,77,84,1,"(80, 85]",-0.3008130081300777,89,79.0,1926.0,4580.0,2654.0
679,M,PhD,84,Prof,84,90,1,"(85, 90]",5.699186991869922,95,87.0,4047.0,6878.0,2831.0
682,M,PhD,69,Other,69,76,1,"(75, 80]",-8.300813008130078,78,,,2671.0,
683,M,PhD,65,Other,62,76,1,"(75, 80]",-8.300813008130078,80,79.0,3163.0,3425.0,262.0
685,M,PhD,68,Other,73,76,1,"(75, 80]",-8.300813008130078,78,76.0,1982.0,2378.0,396.0
686,F,PhD,81,Other,82,87,1,"(85, 90]",2.6991869918699223,94,93.0,4670.0,4806.0,136.0
690,M,PhD,64,Prof,67,76,1,"(75, 80]",-8.300813008130078,87,86.0,3909.0,4225.0,316.0
693,M,PhD,85,Prof,87,87,1,"(85, 90]",2.6991869918699223,95,,,6496.0,
695,M,PhD,68,Other,73,76,1,"(75, 80]",-8.300813008130078,86,81.0,3322.0,4321.0,999.0
697,M,PhD,80,Prof,80,85,1,"(80, 85]",0.6991869918699223,89,84.0,4077.0,6190.0,2113.0
703,F,PhD,78,Other,79,85,1,"(80, 85]",0.6991869918699223,93,85.0,2655.0,5394.0,2739.0
704,F,PhD,78,Other,78,78,1,"(75, 80]",-6.300813008130078,82,81.0,2794.0,3271.0,477.0
705,M,PhD,70,Prof,70,78,1,"(75, 80]",-6.300813008130078,83,82.0,3079.0,4731.0,1652.0
706,M,PhD,82,Prof,82,86,1,"(85, 90]",1.6991869918699223,90,89.0,6103.0,7583.0,1480.0
707,M,PhD,83,Other,87,87,1,"(85, 90]",2.6991869918699223,94,93.0,5712.0,5878.0,166.0
712,M,PhD,83,Prof,83,88,1,"(85, 90]",3.6991869918699223,94,,,7494.0,
713,M,PhD,77,Other,79,82,1,"(80, 85]",-2.3008130081300777,85,81.0,2225.0,3484.0,1259.0
717,F,PhD,77,Arts,80,86,1,"(85, 90]",1.6991869918699223,93,81.0,1957.0,4812.0,2855.0
720,M,PhD,66,Arts,66,76,1,"(75, 80]",-8.300813008130078,80,79.0,2369.0,2673.134,304.134
721,M,PhD,65,Other,67,76,1,"(75, 80]",-8.300813008130078,78,77.0,2296.0,2460.0,164.0
722,M,PhD,77,Other,76,83,1,"(80, 85]",-1.3008130081300777,95,87.0,3313.0,4812.0,1499.0
729,M,PhD,69,Other,70,76,1,"(75, 80]",-8.300813008130078,80,,,2642.0,
732,M,PhD,68,Other,66,76,1,"(75, 80]",-8.300813008130078,78,,,2897.0,
742,M,PhD,71,Other,75,76,1,"(75, 80]",-8.300813008130078,81,80.0,3528.0,4053.0,525.0
744,M,PhD,76,Other,79,85,1,"(80, 85]",0.6991869918699223,93,,,5168.0,
745,M,PhD,83,Other,91,91,1,"(90, 95]",6.699186991869922,94,93.0,7494.0,7712.0,218.0
747,F,PhD,71,Other,77,83,1,"(80, 85]",-1.3008130081300777,89,88.0,3715.0,4269.0,554.0
751,M,PhD,65,Prof,67,76,1,"(75, 80]",-8.300813008130078,77,76.0,2232.0,2544.0,312.0
754,M,PhD,79,Other,89,89,1,"(85, 90]",4.699186991869922,92,91.0,6048.0,6404.0,356.0
757,F,PhD,84,Other,84,89,1,"(85, 90]",4.699186991869922,95,94.0,6878.0,7283.0,405.0
758,M,PhD,70,Other,72,76,1,"(75, 80]",-8.300813008130078,83,77.0,2019.0,3455.0,1436.0
759,M,PhD,67,Arts,67,76,1,"(75, 80]",-8.300813008130078,80,77.0,2216.0,2902.985,686.9850000000001
760,M,PhD,81,Other,84,88,1,"(85, 90]",3.6991869918699223,92,,,5318.0,
761,F,PhD,81,Prof,88,88,1,"(85, 90]",3.6991869918699223,95,91.0,5631.0,6590.0,959.0
763,F,PhD,77,Arts,77,83,1,"(80, 85]",-1.3008130081300777,91,88.0,3922.0,5095.0,1173.0
