id,sex,deg,yrdeg,field,startyr,first_associate_year,ever_promoted,associate_cohort_bin,assoc_year_centered,promotion_year
128,M,PhD,75,Other,78,83,1,"(80, 85]",-1.3008130081300777,94
130,M,PhD,77,Prof,85,85,1,"(80, 85]",0.6991869918699223,90
131,M,PhD,78,Other,84,84,1,"(80, 85]",-0.3008130081300777,91
133,M,PhD,82,Other,84,89,1,"(85, 90]",4.699186991869922,92
134,M,PhD,69,Prof,75,78,1,"(75, 80]",-6.300813008130078,89
136,F,PhD,73,Arts,77,83,1,"(80, 85]",-1.3008130081300777,89
137,M,PhD,80,Other,88,88,1,"(85, 90]",3.6991869918699223,92
142,M,PhD,73,Arts,77,84,1,"(80, 85]",-0.3008130081300777,93
146,F,PhD,67,Other,57,76,1,"(75, 80]",-8.300813008130078,81
147,F,PhD,69,Other,68,76,1,"(75, 80]",-8.300813008130078,79
148,F,PhD,82,Arts,83,87,1,"(85, 90]",2.6991869918699223,93
150,M,PhD,81,Arts,87,87,1,"(85, 90]",2.6991869918699223,90
155,M,PhD,77,Other,90,90,1,"(85, 90]",5.699186991869922,95
156,F,PhD,74,Other,76,83,1,"(80, 85]",-1.3008130081300777,91
159,M,PhD,70,Other,67,76,1,"(75, 80]",-8.300813008130078,80
162,M,PhD,77,Other,81,84,1,"(80, 85]",-0.3008130081300777,88
163,M,PhD,80,Arts,83,87,1,"(85, 90]",2.6991869918699223,90
164,M,PhD,74,Arts,70,78,1,"(75, 80]",-6.300813008130078,89
165,M,PhD,69,Other,70,76,1,"(75, 80]",-8.300813008130078,83
172,M,PhD,73,Other,74,76,1,"(75, 80]",-8.300813008130078,80
173,F,PhD,82,Arts,82,88,1,"(85, 90]",3.6991869918699223,95
179,M,PhD,85,Prof,85,90,1,"(85, 90]",5.699186991869922,95
180,M,PhD,67,Other,67,76,1,"(75, 80]",-8.300813008130078,82
181,M,PhD,70,Prof,73,79,1,"(75, 80]",-5.300813008130078,85
185,M,PhD,72,Prof,81,86,1,"(85, 90]",1.6991869918699223,95
189,M,PhD,72,Other,75,76,1,"(75, 80]",-8.300813008130078,80
191,M,PhD,71,Other,72,80,1,"(75, 80]",-4.300813008130078,87
194,M,PhD,72,Arts,76,79,1,"(75, 80]",-5.300813008130078,88
201,M,PhD,69,Arts,69,76,1,"(75, 80]",-8.300813008130078,81
203,M,PhD,75,Other,84,84,1,"(80, 85]",-0.3008130081300777,86
206,M,PhD,78,Other,81,86,1,"(85, 90]",1.6991869918699223,95
207,M,PhD,71,Prof,84,84,1,"(80, 85]",-0.3008130081300777,87
211,M,PhD,65,Prof,75,76,1,"(75, 80]",-8.300813008130078,90
214,M,PhD,71,Arts,71,76,1,"(75, 80]",-8.300813008130078,81
220,F,PhD,73,Other,73,80,1,"(75, 80]",-4.300813008130078,85
225,M,PhD,74,Other,79,81,1,"(80, 85]",-3.3008130081300777,86
228,M,PhD,72,Other,75,80,1,"(75, 80]",-4.300813008130078,85
233,M,PhD,71,Prof,76,76,1,"(75, 80]",-8.300813008130078,81
236,F,PhD,72,Other,74,81,1,"(80, 85]",-3.3008130081300777,86
239,M,PhD,70,Other,78,82,1,"(80, 85]",-2.3008130081300777,93
243,M,PhD,78,Prof,78,84,1,"(80, 85]",-0.3008130081300777,92
244,M,PhD,64,Other,67,76,1,"(75, 80]",-8.300813008130078,79
246,M,PhD,73,Other,75,78,1,"(75, 80]",-6.300813008130078,83
247,M,PhD,75,Arts,81,85,1,"(80, 85]",0.6991869918699223,92
250,F,PhD,70,Arts,73,76,1,"(75, 80]",-8.300813008130078,81
252,M,PhD,84,Prof,84,89,1,"(85, 90]",4.699186991869922,94
256,M,PhD,67,Other,70,76,1,"(75, 80]",-8.300813008130078,83
261,F,PhD,70,Other,72,84,1,"(80, 85]",-0.3008130081300777,91
269,M,PhD,76,Other,80,84,1,"(80, 85]",-0.3008130081300777,88
271,M,PhD,75,Other,80,85,1,"(80, 85]",0.6991869918699223,90
291,M,PhD,78,Prof,81,84,1,"(80, 85]",-0.3008130081300777,89
295,M,PhD,72,Prof,72,78,1,"(75, 80]",-6.300813008130078,88
296,M,PhD,72,Other,80,80,1,"(75, 80]",-4.300813008130078,82
298,M,PhD,76,Prof,84,84,1,"(80, 85]",-0.3008130081300777,90
299,F,PhD,77,Arts,76,84,1,"(80, 85]",-0.3008130081300777,93
300,M,PhD,64,Prof,67,76,1,"(75, 80]",-8.300813008130078,77
302,F,PhD,58,Arts,68,76,1,"(75, 80]",-8.300813008130078,87
305,M,PhD,73,Other,70,76,1,"(75, 80]",-8.300813008130078,79
306,M,PhD,70,Other,78,79,1,"(75, 80]",-5.300813008130078,84
309,F,PhD,73,Other,75,81,1,"(80, 85]",-3.3008130081300777,86
312,F,PhD,81,Other,86,89,1,"(85, 90]",4.699186991869922,93
315,F,PhD,81,Arts,85,89,1,"(85, 90]",4.699186991869922,94
320,M,PhD,67,Other,69,76,1,"(75, 80]",-8.300813008130078,78
324,M,PhD,64,Arts,67,76,1,"(75, 80]",-8.300813008130078,81
325,M,PhD,71,Other,75,80,1,"(75, 80]",-4.300813008130078,84
327,M,PhD,65,Other,67,76,1,"(75, 80]",-8.300813008130078,77
328,M,PhD,73,Arts,73,79,1,"(75, 80]",-5.300813008130078,88
331,M,PhD,68,Other,68,76,1,"(75, 80]",-8.300813008130078,78
339,M,PhD,71,Other,79,79,1,"(75, 80]",-5.300813008130078,82
340,M,PhD,68,Prof,76,79,1,"(75, 80]",-5.300813008130078,90
341,M,PhD,77,Prof,77,81,1,"(80, 85]",-3.3008130081300777,85
344,M,PhD,71,Other,73,78,1,"(75, 80]",-6.300813008130078,85
349,F,PhD,59,Other,71,76,1,"(75, 80]",-8.300813008130078,82
350,M,PhD,69,Prof,76,76,1,"(75, 80]",-8.300813008130078,80
351,M,PhD,74,Other,71,78,1,"(75, 80]",-6.300813008130078,85
356,M,PhD,72,Other,72,76,1,"(75, 80]",-8.300813008130078,80
360,M,PhD,83,Prof,87,89,1,"(85, 90]",4.699186991869922,92
361,M,PhD,72,Other,74,80,1,"(75, 80]",-4.300813008130078,85
364,M,PhD,71,Other,71,76,1,"(75, 80]",-8.300813008130078,88
365,M,PhD,67,Other,73,76,1,"(75, 80]",-8.300813008130078,79
368,M,PhD,79,Other,79,85,1,"(80, 85]",0.6991869918699223,92
380,F,PhD,74,Other,80,85,1,"(80, 85]",0.6991869918699223,92
387,F,PhD,76,Other,79,85,1,"(80, 85]",0.6991869918699223,91
390,M,PhD,76,Prof,83,86,1,"(85, 90]",1.6991869918699223,91
394,M,PhD,68,Other,80,80,1,"(75, 80]",-4.300813008130078,81
396,M,PhD,71,Arts,72,76,1,"(75, 80]",-8.300813008130078,77
397,F,PhD,74,Other,74,80,1,"(75, 80]",-4.300813008130078,87
398,M,PhD,81,Other,87,88,1,"(85, 90]",3.6991869918699223,91
405,M,PhD,74,Prof,75,79,1,"(75, 80]",-5.300813008130078,83
407,M,PhD,79,Other,86,88,1,"(85, 90]",3.6991869918699223,91
411,M,PhD,73,Other,76,78,1,"(75, 80]",-6.300813008130078,84
417,M,PhD,70,Other,79,79,1,"(75, 80]",-5.300813008130078,92
418,M,PhD,82,Other,91,91,1,"(90, 95]",6.699186991869922,93
419,M,PhD,78,Prof,78,84,1,"(80, 85]",-0.3008130081300777,91
422,F,PhD,76,Other,76,82,1,"(80, 85]",-2.3008130081300777,92
425,M,PhD,79,Other,87,87,1,"(85, 90]",2.6991869918699223,94
426,M,PhD,74,Other,87,87,1,"(85, 90]",2.6991869918699223,91
430,M,PhD,69,Prof,75,76,1,"(75, 80]",-8.300813008130078,80
438,M,PhD,77,Prof,76,82,1,"(80, 85]",-2.3008130081300777,88
443,M,PhD,66,Other,69,76,1,"(75, 80]",-8.300813008130078,79
446,M,PhD,75,Other,75,81,1,"(80, 85]",-3.3008130081300777,86
450,M,PhD,64,Arts,67,76,1,"(75, 80]",-8.300813008130078,86
453,F,PhD,80,Prof,83,88,1,"(85, 90]",3.6991869918699223,94
461,M,PhD,77,Other,82,86,1,"(85, 90]",1.6991869918699223,89
462,M,PhD,83,Other,82,88,1,"(85, 90]",3.6991869918699223,93
463,M,PhD,72,Other,72,77,1,"(75, 80]",-7.300813008130078,83
467,M,PhD,69,Other,72,76,1,"(75, 80]",-8.300813008130078,82
468,M,PhD,67,Other,66,76,1,"(75, 80]",-8.300813008130078,82
473,M,PhD,82,Other,82,90,1,"(85, 90]",5.699186991869922,95
475,M,PhD,67,Other,72,76,1,"(75, 80]",-8.300813008130078,82
480,M,PhD,70,Other,66,76,1,"(75, 80]",-8.300813008130078,82
482,M,PhD,71,Prof,79,79,1,"(75, 80]",-5.300813008130078,83
484,M,PhD,80,Other,84,84,1,"(80, 85]",-0.3008130081300777,91
492,M,PhD,77,Prof,77,82,1,"(80, 85]",-2.3008130081300777,90
494,M,PhD,67,Prof,78,84,1,"(80, 85]",-0.3008130081300777,89
496,M,PhD,77,Prof,78,82,1,"(80, 85]",-2.3008130081300777,87
498,M,PhD,75,Prof,76,82,1,"(80, 85]",-2.3008130081300777,86
500,M,PhD,69,Other,68,76,1,"(75, 80]",-8.300813008130078,93
501,M,PhD,82,Other,83,88,1,"(85, 90]",3.6991869918699223,92
502,M,PhD,69,Other,74,76,1,"(75, 80]",-8.300813008130078,80
503,F,PhD,68,Other,72,80,1,"(75, 80]",-4.300813008130078,86
504,F,PhD,81,Arts,89,89,1,"(85, 90]",4.699186991869922,93
510,M,PhD,70,Other,73,76,1,"(75, 80]",-8.300813008130078,78
512,M,PhD,81,Arts,91,91,1,"(90, 95]",6.699186991869922,93
513,M,PhD,83,Other,89,89,1,"(85, 90]",4.699186991869922,93
514,F,PhD,74,Other,79,79,1,"(75, 80]",-5.300813008130078,88
517,F,PhD,66,Arts,80,85,1,"(80, 85]",0.6991869918699223,94
518,M,PhD,78,Prof,78,83,1,"(80, 85]",-1.3008130081300777,89
523,M,PhD,74,Prof,76,82,1,"(80, 85]",-2.3008130081300777,86
530,M,PhD,73,Prof,78,80,1,"(75, 80]",-4.300813008130078,84
532,M,PhD,65,Other,65,76,1,"(75, 80]",-8.300813008130078,79
533,M,PhD,73,Other,82,87,1,"(85, 90]",2.6991869918699223,94
537,M,PhD,81,Other,83,87,1,"(85, 90]",2.6991869918699223,92
540,M,PhD,66,Other,69,76,1,"(75, 80]",-8.300813008130078,78
541,M,PhD,69,Other,69,76,1,"(75, 80]",-8.300813008130078,83
542,M,PhD,68,Other,78,78,1,"(75, 80]",-6.300813008130078,79
547,M,PhD,84,Prof,84,90,1,"(85, 90]",5.699186991869922,95
548,M,PhD,72,Other,72,77,1,"(75, 80]",-7.300813008130078,83
550,M,PhD,82,Other,82,88,1,"(85, 90]",3.6991869918699223,91
551,M,PhD,77,Other,78,82,1,"(80, 85]",-2.3008130081300777,86
554,F,PhD,81,Other,84,89,1,"(85, 90]",4.699186991869922,94
555,M,PhD,69,Other,68,76,1,"(75, 80]",-8.300813008130078,83
558,M,PhD,77,Other,89,89,1,"(85, 90]",4.699186991869922,92
561,M,PhD,74,Prof,74,78,1,"(75, 80]",-6.300813008130078,83
566,M,PhD,72,Prof,78,80,1,"(75, 80]",-4.300813008130078,84
571,F,PhD,69,Other,69,76,1,"(75, 80]",-8.300813008130078,82
574,F,PhD,74,Other,74,80,1,"(75, 80]",-4.300813008130078,88
576,M,PhD,66,Other,68,76,1,"(75, 80]",-8.300813008130078,79
580,M,PhD,77,Prof,86,86,1,"(85, 90]",1.6991869918699223,89
581,M,PhD,79,Other,83,88,1,"(85, 90]",3.6991869918699223,92
585,M,PhD,69,Other,73,76,1,"(75, 80]",-8.300813008130078,79
590,M,PhD,71,Other,76,76,1,"(75, 80]",-8.300813008130078,77
594,M,PhD,70,Other,76,76,1,"(75, 80]",-8.300813008130078,90
595,M,PhD,68,Other,70,76,1,"(75, 80]",-8.300813008130078,84
600,M,PhD,77,Other,77,82,1,"(80, 85]",-2.3008130081300777,86
605,F,PhD,74,Prof,86,86,1,"(85, 90]",1.6991869918699223,89
607,M,PhD,70,Other,72,76,1,"(75, 80]",-8.300813008130078,80
610,M,PhD,74,Other,88,88,1,"(85, 90]",3.6991869918699223,91
612,M,PhD,70,Prof,83,83,1,"(80, 85]",-1.3008130081300777,91
616,M,PhD,68,Arts,73,76,1,"(75, 80]",-8.300813008130078,84
619,F,PhD,70,Prof,73,76,1,"(75, 80]",-8.300813008130078,85
621,M,PhD,66,Other,71,76,1,"(75, 80]",-8.300813008130078,78
623,M,PhD,73,Arts,72,79,1,"(75, 80]",-5.300813008130078,91
624,M,PhD,70,Other,78,81,1,"(80, 85]",-3.3008130081300777,88
626,M,PhD,74,Other,85,85,1,"(80, 85]",0.6991869918699223,91
633,M,PhD,63,Other,75,83,1,"(80, 85]",-1.3008130081300777,94
636,M,PhD,75,Prof,79,82,1,"(80, 85]",-2.3008130081300777,88
638,M,PhD,67,Other,67,76,1,"(75, 80]",-8.300813008130078,77
639,M,PhD,75,Other,75,84,1,"(80, 85]",-0.3008130081300777,89
640,M,PhD,71,Other,71,77,1,"(75, 80]",-7.300813008130078,90
644,M,PhD,67,Other,66,76,1,"(75, 80]",-8.300813008130078,81
645,M,PhD,65,Other,72,76,1,"(75, 80]",-8.300813008130078,77
649,M,PhD,82,Other,84,88,1,"(85, 90]",3.6991869918699223,92
653,M,PhD,77,Other,78,81,1,"(80, 85]",-3.3008130081300777,91
655,F,PhD,81,Other,83,88,1,"(85, 90]",3.6991869918699223,93
660,F,PhD,75,Other,83,83,1,"(80, 85]",-1.3008130081300777,91
664,M,PhD,69,Arts,69,76,1,"(75, 80]",-8.300813008130078,81
665,M,PhD,67,Other,67,76,1,"(75, 80]",-8.300813008130078,89
666,F,PhD,80,Other,80,86,1,"(85, 90]",1.6991869918699223,94
669,M,PhD,71,Other,75,80,1,"(75, 80]",-4.300813008130078,85
675,M,PhD,59,Arts,61,76,1,"(75, 80]",-8.300813008130078,88
677,M,PhD,82,Other,85,87,1,"(85, 90]",2.6991869918699223,90
678,F,PhD,71,Other,77,84,1,"(80, 85]",-0.3008130081300777,89
679,M,PhD,84,Prof,84,90,1,"(85, 90]",5.699186991869922,95
682,M,PhD,69,Other,69,76,1,"(75, 80]",-8.300813008130078,78
683,M,PhD,65,Other,62,76,1,"(75, 80]",-8.300813008130078,80
685,M,PhD,68,Other,73,76,1,"(75, 80]",-8.300813008130078,78
686,F,PhD,81,Other,82,87,1,"(85, 90]",2.6991869918699223,94
690,M,PhD,64,Prof,67,76,1,"(75, 80]",-8.300813008130078,87
693,M,PhD,85,Prof,87,87,1,"(85, 90]",2.6991869918699223,95
695,M,PhD,68,Other,73,76,1,"(75, 80]",-8.300813008130078,86
697,M,PhD,80,Prof,80,85,1,"(80, 85]",0.6991869918699223,89
703,F,PhD,78,Other,79,85,1,"(80, 85]",0.6991869918699223,93
704,F,PhD,78,Other,78,78,1,"(75, 80]",-6.300813008130078,82
705,M,PhD,70,Prof,70,78,1,"(75, 80]",-6.300813008130078,83
706,M,PhD,82,Prof,82,86,1,"(85, 90]",1.6991869918699223,90
707,M,PhD,83,Other,87,87,1,"(85, 90]",2.6991869918699223,94
712,M,PhD,83,Prof,83,88,1,"(85, 90]",3.6991869918699223,94
713,M,PhD,77,Other,79,82,1,"(80, 85]",-2.3008130081300777,85
717,F,PhD,77,Arts,80,86,1,"(85, 90]",1.6991869918699223,93
720,M,PhD,66,Arts,66,76,1,"(75, 80]",-8.300813008130078,80
721,M,PhD,65,Other,67,76,1,"(75, 80]",-8.300813008130078,78
722,M,PhD,77,Other,76,83,1,"(80, 85]",-1.3008130081300777,95
729,M,PhD,69,Other,70,76,1,"(75, 80]",-8.300813008130078,80
732,M,PhD,68,Other,66,76,1,"(75, 80]",-8.300813008130078,78
742,M,PhD,71,Other,75,76,1,"(75, 80]",-8.300813008130078,81
744,M,PhD,76,Other,79,85,1,"(80, 85]",0.6991869918699223,93
745,M,PhD,83,Other,91,91,1,"(90, 95]",6.699186991869922,94
747,F,PhD,71,Other,77,83,1,"(80, 85]",-1.3008130081300777,89
751,M,PhD,65,Prof,67,76,1,"(75, 80]",-8.300813008130078,77
754,M,PhD,79,Other,89,89,1,"(85, 90]",4.699186991869922,92
757,F,PhD,84,Other,84,89,1,"(85, 90]",4.699186991869922,95
758,M,PhD,70,Other,72,76,1,"(75, 80]",-8.300813008130078,83
759,M,PhD,67,Arts,67,76,1,"(75, 80]",-8.300813008130078,80
760,M,PhD,81,Other,84,88,1,"(85, 90]",3.6991869918699223,92
761,F,PhD,81,Prof,88,88,1,"(85, 90]",3.6991869918699223,95
763,F,PhD,77,Arts,77,83,1,"(80, 85]",-1.3008130081300777,91
766,M,PhD,79,Prof,79,85,1,"(80, 85]",0.6991869918699223,90
769,M,PhD,76,Other,77,82,1,"(80, 85]",-2.3008130081300777,93
770,M,PhD,67,Other,69,76,1,"(75, 80]",-8.300813008130078,78
771,M,PhD,73,Other,74,79,1,"(75, 80]",-5.300813008130078,85
776,M,PhD,70,Arts,74,76,1,"(75, 80]",-8.300813008130078,81
777,M,PhD,83,Other,88,90,1,"(85, 90]",5.699186991869922,93
779,M,PhD,78,Prof,79,84,1,"(80, 85]",-0.3008130081300777,90
782,M,PhD,74,Other,78,82,1,"(80, 85]",-2.3008130081300777,87
783,M,PhD,80,Other,80,86,1,"(85, 90]",1.6991869918699223,92
784,F,PhD,83,Other,83,88,1,"(85, 90]",3.6991869918699223,95
788,M,PhD,68,Prof,68,76,1,"(75, 80]",-8.300813008130078,81
789,M,PhD,72,Other,72,78,1,"(75, 80]",-6.300813008130078,83
794,F,PhD,64,Other,64,76,1,"(75, 80]",-8.300813008130078,81
807,M,PhD,71,Prof,76,80,1,"(75, 80]",-4.300813008130078,87
808,M,PhD,73,Other,83,83,1,"(80, 85]",-1.3008130081300777,90
810,M,PhD,75,Other,75,81,1,"(80, 85]",-3.3008130081300777,92
811,M,PhD,73,Other,75,81,1,"(80, 85]",-3.3008130081300777,89
820,M,PhD,71,Other,71,76,1,"(75, 80]",-8.300813008130078,80
823,F,PhD,71,Other,70,77,1,"(75, 80]",-7.300813008130078,86
825,M,PhD,73,Other,76,79,1,"(75, 80]",-5.300813008130078,95
828,M,PhD,69,Other,76,79,1,"(75, 80]",-5.300813008130078,85
830,F,PhD,73,Other,76,79,1,"(75, 80]",-5.300813008130078,82
835,M,PhD,71,Prof,80,80,1,"(75, 80]",-4.300813008130078,87
836,F,PhD,82,Other,77,84,1,"(80, 85]",-0.3008130081300777,91
837,M,PhD,69,Prof,69,76,1,"(75, 80]",-8.300813008130078,85
840,M,PhD,69,Prof,71,77,1,"(75, 80]",-7.300813008130078,84
845,M,PhD,69,Other,72,82,1,"(80, 85]",-2.3008130081300777,95
847,M,PhD,75,Other,83,83,1,"(80, 85]",-1.3008130081300777,92
848,F,PhD,70,Other,74,78,1,"(75, 80]",-6.300813008130078,84
852,M,PhD,74,Arts,75,81,1,"(80, 85]",-3.3008130081300777,87
854,M,PhD,71,Prof,83,83,1,"(80, 85]",-1.3008130081300777,86
855,F,PhD,69,Arts,68,76,1,"(75, 80]",-8.300813008130078,81
856,M,PhD,75,Other,76,83,1,"(80, 85]",-1.3008130081300777,87
859,M,PhD,68,Other,68,76,1,"(75, 80]",-8.300813008130078,94
860,F,PhD,74,Other,77,80,1,"(75, 80]",-4.300813008130078,88
863,M,PhD,78,Other,78,84,1,"(80, 85]",-0.3008130081300777,90
866,F,PhD,73,Arts,72,79,1,"(75, 80]",-5.300813008130078,83
872,M,PhD,59,Other,65,76,1,"(75, 80]",-8.300813008130078,79
875,M,PhD,71,Other,74,76,1,"(75, 80]",-8.300813008130078,79
878,M,PhD,66,Other,66,76,1,"(75, 80]",-8.300813008130078,93
880,M,PhD,65,Other,72,76,1,"(75, 80]",-8.300813008130078,81
887,F,PhD,73,Other,73,76,1,"(75, 80]",-8.300813008130078,78
892,M,PhD,83,Other,87,90,1,"(85, 90]",5.699186991869922,94
895,M,PhD,75,Prof,78,81,1,"(80, 85]",-3.3008130081300777,94
898,M,PhD,78,Other,79,86,1,"(85, 90]",1.6991869918699223,92
905,M,PhD,67,Other,65,76,1,"(75, 80]",-8.300813008130078,77
908,M,PhD,79,Prof,80,87,1,"(85, 90]",2.6991869918699223,93
917,M,PhD,72,Other,76,78,1,"(75, 80]",-6.300813008130078,83
919,M,PhD,75,Other,88,88,1,"(85, 90]",3.6991869918699223,95
920,M,PhD,77,Other,82,88,1,"(85, 90]",3.6991869918699223,95
921,M,PhD,77,Prof,77,81,1,"(80, 85]",-3.3008130081300777,85
924,M,PhD,82,Other,85,88,1,"(85, 90]",3.6991869918699223,95
925,F,PhD,77,Other,78,78,1,"(75, 80]",-6.300813008130078,84
927,M,PhD,79,Prof,91,91,1,"(90, 95]",6.699186991869922,95
929,M,PhD,67,Other,70,76,1,"(75, 80]",-8.300813008130078,81
930,M,PhD,65,Prof,67,76,1,"(75, 80]",-8.300813008130078,78
939,M,PhD,68,Arts,60,76,1,"(75, 80]",-8.300813008130078,86
944,M,PhD,68,Arts,69,77,1,"(75, 80]",-7.300813008130078,85
955,M,PhD,72,Prof,72,79,1,"(75, 80]",-5.300813008130078,84
957,M,PhD,71,Other,73,76,1,"(75, 80]",-8.300813008130078,80
958,M,PhD,80,Other,80,86,1,"(85, 90]",1.6991869918699223,93
967,M,PhD,70,Arts,67,76,1,"(75, 80]",-8.300813008130078,80
969,M,PhD,74,Prof,81,81,1,"(80, 85]",-3.3008130081300777,95
972,M,PhD,76,Other,76,83,1,"(80, 85]",-1.3008130081300777,87
973,M,PhD,76,Other,77,82,1,"(80, 85]",-2.3008130081300777,87
977,M,PhD,73,Other,86,86,1,"(85, 90]",1.6991869918699223,88
979,M,PhD,82,Prof,82,90,1,"(85, 90]",5.699186991869922,94
982,M,PhD,78,Other,86,86,1,"(85, 90]",1.6991869918699223,94
989,M,PhD,67,Other,70,76,1,"(75, 80]",-8.300813008130078,81
990,M,PhD,66,Prof,65,76,1,"(75, 80]",-8.300813008130078,82
993,M,PhD,77,Other,83,83,1,"(80, 85]",-1.3008130081300777,86
994,F,PhD,74,Other,76,81,1,"(80, 85]",-3.3008130081300777,94
995,M,PhD,72,Other,75,79,1,"(75, 80]",-5.300813008130078,85
997,M,PhD,79,Other,89,89,1,"(85, 90]",4.699186991869922,93
999,M,PhD,70,Other,69,76,1,"(75, 80]",-8.300813008130078,80
1000,F,PhD,84,Other,84,89,1,"(85, 90]",4.699186991869922,95
1009,M,PhD,78,Arts,80,84,1,"(80, 85]",-0.3008130081300777,90
1013,M,PhD,80,Other,87,87,1,"(85, 90]",2.6991869918699223,90
1019,M,PhD,79,Other,80,87,1,"(85, 90]",2.6991869918699223,94
1026,M,PhD,75,Prof,79,82,1,"(80, 85]",-2.3008130081300777,85
1028,M,PhD,82,Other,87,91,1,"(90, 95]",6.699186991869922,95
1039,F,PhD,81,Other,85,85,1,"(80, 85]",0.6991869918699223,89
1040,M,PhD,67,Prof,67,76,1,"(75, 80]",-8.300813008130078,78
1041,M,PhD,65,Other,66,76,1,"(75, 80]",-8.300813008130078,78
1042,M,PhD,67,Other,60,76,1,"(75, 80]",-8.300813008130078,83
1043,M,PhD,76,Other,76,81,1,"(80, 85]",-3.3008130081300777,89
1045,M,PhD,70,Other,71,76,1,"(75, 80]",-8.300813008130078,85
1048,M,PhD,79,Other,90,90,1,"(85, 90]",5.699186991869922,95
1060,F,PhD,63,Other,74,83,1,"(80, 85]",-1.3008130081300777,93
1062,M,PhD,67,Other,62,76,1,"(75, 80]",-8.300813008130078,81
1064,M,PhD,79,Other,83,85,1,"(80, 85]",0.6991869918699223,90
1065,M,PhD,78,Prof,79,85,1,"(80, 85]",0.6991869918699223,91
1067,F,PhD,79,Other,85,85,1,"(80, 85]",0.6991869918699223,90
1072,M,PhD,80,Prof,80,85,1,"(80, 85]",0.6991869918699223,90
1073,M,PhD,82,Other,86,90,1,"(85, 90]",5.699186991869922,94
1078,M,PhD,66,Other,66,76,1,"(75, 80]",-8.300813008130078,78
1079,M,PhD,69,Arts,69,78,1,"(75, 80]",-6.300813008130078,95
1080,M,PhD,70,Other,72,76,1,"(75, 80]",-8.300813008130078,77
1081,M,PhD,74,Other,77,80,1,"(75, 80]",-4.300813008130078,83
1086,F,PhD,78,Other,83,88,1,"(85, 90]",3.6991869918699223,94
1087,M,PhD,83,Prof,83,88,1,"(85, 90]",3.6991869918699223,95
1091,M,PhD,75,Prof,79,81,1,"(80, 85]",-3.3008130081300777,85
1094,M,PhD,67,Prof,67,76,1,"(75, 80]",-8.300813008130078,80
1095,M,PhD,78,Other,80,86,1,"(85, 90]",1.6991869918699223,94
1096,F,PhD,81,Other,81,86,1,"(85, 90]",1.6991869918699223,90
