case,id,sex,deg,yrdeg,field,startyr,year,rank,admin,salary,rank_order
35,9,M,PhD,82,Other,87,91,Assoc,0,5022.0,2
36,9,M,PhD,82,Other,87,92,Assoc,0,5168.0,2
37,9,M,PhD,82,Other,87,93,Assoc,0,5318.0,2
38,9,M,PhD,82,Other,87,94,Assoc,0,5318.0,2
39,9,M,PhD,82,Other,87,95,Assoc,0,5472.0,2
40,10,M,PhD,68,Arts,80,80,Assoc,0,3250.0,2
41,10,M,PhD,68,Arts,80,81,Assoc,0,3671.0,2
42,10,M,PhD,68,Arts,80,82,Assoc,0,3831.0,2
43,10,M,PhD,68,Arts,80,83,Assoc,0,4042.0,2
44,10,M,PhD,68,Arts,80,84,Assoc,0,4317.0,2
45,10,M,PhD,68,Arts,80,85,Assoc,0,4317.0,2
46,10,M,PhD,68,Arts,80,86,Assoc,0,4708.0,2
47,10,M,PhD,68,Arts,80,87,Assoc,0,4944.0,2
48,10,M,PhD,68,Arts,80,88,Assoc,0,5015.0,2
49,10,M,PhD,68,Arts,80,89,Assoc,1,5846.0,2
50,10,M,PhD,68,Arts,80,90,Assoc,1,6120.0,2
51,10,M,PhD,68,Arts,80,91,Assoc,1,6590.0,2
52,10,M,PhD,68,Arts,80,92,Assoc,1,6781.0,2
53,10,M,PhD,68,Arts,80,93,Full,1,7180.0,3
54,10,M,PhD,68,Arts,80,94,Full,0,7180.0,3
55,10,M,PhD,68,Arts,80,95,Full,0,7494.0,3
56,12,M,PhD,64,Other,64,76,Full,0,2339.0,3
57,12,M,PhD,64,Other,64,77,Full,0,2502.0,3
58,12,M,PhD,64,Other,64,78,Full,0,2628.0,3
59,12,M,PhD,64,Other,64,79,Full,0,2895.0,3
60,12,M,PhD,64,Other,64,80,Full,0,3058.0,3
61,12,M,PhD,64,Other,64,81,Full,0,3417.0,3
62,12,M,PhD,64,Other,64,82,Full,0,3619.0,3
63,12,M,PhD,64,Other,64,83,Full,0,4798.0,3
64,12,M,PhD,64,Other,64,84,Full,0,5052.0,3
65,12,M,PhD,64,Other,64,85,Full,0,5052.0,3
66,12,M,PhD,64,Other,64,86,Full,0,5203.0,3
67,12,M,PhD,64,Other,64,87,Full,0,5464.0,3
68,12,M,PhD,64,Other,64,88,Full,0,5786.0,3
69,12,M,PhD,64,Other,64,89,Full,0,7743.284,3
70,12,M,PhD,64,Other,64,90,Full,0,8145.0,3
71,12,M,PhD,64,Other,64,91,Full,0,8523.0,3
72,12,M,PhD,64,Other,64,92,Full,0,8770.0,3
73,12,M,PhD,64,Other,64,93,Full,0,9025.0,3
74,12,M,PhD,64,Other,64,94,Full,0,9025.0,3
75,12,M,PhD,64,Other,64,95,Full,0,9286.0,3
76,13,M,PhD,68,Prof,69,76,Assoc,0,1875.0,2
77,13,M,PhD,68,Prof,69,77,Assoc,0,2136.0,2
78,13,M,PhD,68,Prof,69,78,Assoc,0,2256.0,2
79,13,M,PhD,68,Prof,69,79,Assoc,0,2540.0,2
80,13,M,PhD,68,Prof,69,80,Assoc,0,2824.0,2
81,13,M,PhD,68,Prof,69,81,Assoc,0,3137.0,2
82,13,M,PhD,68,Prof,69,82,Full,0,3322.0,3
83,13,M,PhD,68,Prof,69,83,Full,0,3505.0,3
84,13,M,PhD,68,Prof,69,84,Full,0,3742.0,3
85,13,M,PhD,68,Prof,69,85,Full,0,3742.0,3
86,13,M,PhD,68,Prof,69,86,Full,0,4641.0,3
87,13,M,PhD,68,Prof,69,87,Full,0,4874.0,3
88,13,M,PhD,68,Prof,69,88,Full,0,6675.0,3
89,13,M,PhD,68,Prof,69,89,Full,0,7142.0,3
90,13,M,PhD,68,Prof,69,90,Full,0,7475.0,3
91,13,M,PhD,68,Prof,69,91,Full,0,7935.0,3
92,13,M,PhD,68,Prof,69,92,Full,0,8165.0,3
93,13,M,PhD,68,Prof,69,93,Full,0,8402.0,3
94,13,M,PhD,68,Prof,69,94,Full,0,8402.0,3
95,13,M,PhD,68,Prof,69,95,Full,0,8770.0,3
96,14,M,PhD,79,Other,92,92,Assoc,0,8646.0,2
97,14,M,PhD,79,Other,92,93,Assoc,0,8770.0,2
98,14,M,PhD,79,Other,92,94,Full,0,9025.0,3
99,14,M,PhD,79,Other,92,95,Full,0,9477.0,3
100,15,M,PhD,72,Other,91,91,Full,0,4538.0,3
101,15,M,PhD,72,Other,91,92,Full,0,4737.0,3
102,15,M,PhD,72,Other,91,93,Full,0,4875.0,3
103,15,M,PhD,72,Other,91,94,Full,0,4875.0,3
104,15,M,PhD,72,Other,91,95,Full,0,5088.0,3
105,16,M,PhD,73,Other,79,79,Assist,0,1889.0,1
106,16,M,PhD,73,Other,79,80,Assist,0,2037.0,1
107,16,M,PhD,73,Other,79,81,Assist,0,2323.0,1
108,16,M,PhD,73,Other,79,82,Assoc,0,2425.0,2
109,16,M,PhD,73,Other,79,83,Assoc,0,3619.0,2
110,16,M,PhD,73,Other,79,84,Assoc,0,3742.0,2
111,16,M,PhD,73,Other,79,85,Assoc,0,3742.0,2
112,16,M,PhD,73,Other,79,86,Assoc,0,4081.0,2
113,16,M,PhD,73,Other,79,87,Assoc,0,4286.0,2
114,16,M,PhD,73,Other,79,88,Assoc,0,4538.0,2
115,16,M,PhD,73,Other,79,89,Full,0,5290.0,3
116,16,M,PhD,73,Other,79,90,Full,0,6480.0,3
117,16,M,PhD,73,Other,79,91,Full,0,6977.0,3
118,16,M,PhD,73,Other,79,92,Full,0,7180.0,3
119,16,M,PhD,73,Other,79,93,Full,0,7602.0,3
120,16,M,PhD,73,Other,79,94,Full,0,7602.0,3
121,16,M,PhD,73,Other,79,95,Full,0,7935.0,3
122,17,M,PhD,72,Other,72,76,Assist,0,1773.0,1
123,17,M,PhD,72,Other,72,77,Assoc,0,2019.0,2
124,17,M,PhD,72,Other,72,78,Assoc,0,2176.0,2
125,17,M,PhD,72,Other,72,79,Assoc,0,2411.0,2
126,17,M,PhD,72,Other,72,80,Assoc,0,2552.0,2
127,17,M,PhD,72,Other,72,81,Assoc,0,2758.0,2
128,17,M,PhD,72,Other,72,82,Assoc,0,2838.0,2
129,17,M,PhD,72,Other,72,83,Full,0,2994.0,3
130,17,M,PhD,72,Other,72,84,Full,0,3197.0,3
131,17,M,PhD,72,Other,72,85,Full,0,3197.0,3
132,17,M,PhD,72,Other,72,86,Full,0,3293.0,3
133,17,M,PhD,72,Other,72,87,Full,0,3458.0,3
134,17,M,PhD,72,Other,72,88,Full,0,3877.0,3
135,17,M,PhD,72,Other,72,89,Full,0,4520.0,3
136,17,M,PhD,72,Other,72,90,Full,0,4731.0,3
137,17,M,PhD,72,Other,72,91,Full,0,5168.0,3
138,17,M,PhD,72,Other,72,92,Full,0,5318.0,3
139,17,M,PhD,72,Other,72,93,Full,0,5394.0,3
140,17,M,PhD,72,Other,72,94,Full,0,5394.0,3
141,17,M,PhD,72,Other,72,95,Full,0,5472.0,3
142,18,M,PhD,67,Prof,69,76,Assoc,0,2180.0,2
143,18,M,PhD,67,Prof,69,77,Assoc,0,1915.0,2
144,18,M,PhD,67,Prof,69,79,Full,0,2610.0,3
145,18,M,PhD,67,Prof,69,81,Full,0,3178.0,3
146,18,M,PhD,67,Prof,69,82,Full,0,3365.0,3
147,18,M,PhD,67,Prof,69,83,Full,0,3550.0,3
148,18,M,PhD,67,Prof,69,84,Full,0,4013.0,3
149,18,M,PhD,67,Prof,69,85,Full,0,4013.0,3
150,18,M,PhD,67,Prof,69,86,Full,0,4908.0,3
151,18,M,PhD,67,Prof,69,87,Full,0,5155.0,3
152,18,M,PhD,67,Prof,69,88,Full,0,5305.0,3
153,18,M,PhD,67,Prof,69,89,Full,0,5756.0,3
154,18,M,PhD,67,Prof,69,90,Full,0,6025.0,3
155,18,M,PhD,67,Prof,69,91,Full,0,6305.0,3
156,18,M,PhD,67,Prof,69,92,Full,0,6581.0,3
157,18,M,PhD,67,Prof,69,93,Full,0,6772.0,3
158,18,M,PhD,67,Prof,69,94,Full,0,6772.0,3
159,18,M,PhD,67,Prof,69,95,Full,0,7069.0,3
160,19,M,PhD,79,Other,91,91,Assist,0,3221.0,1
161,19,M,PhD,79,Other,91,92,Assist,0,3509.0,1
162,19,M,PhD,79,Other,91,93,Assist,0,3509.0,1
163,19,M,PhD,79,Other,91,94,Assoc,0,3611.0,2
164,19,M,PhD,79,Other,91,95,Assoc,0,4332.0,2
166,21,M,PhD,88,Arts,88,88,Assist,0,2913.0,1
167,21,M,PhD,88,Arts,88,89,Assist,0,3029.0,1
168,21,M,PhD,88,Arts,88,90,Assist,0,3310.0,1
169,21,M,PhD,88,Arts,88,91,Assist,0,3564.0,1
170,21,M,PhD,88,Arts,88,92,Assist,0,3774.0,1
171,21,M,PhD,88,Arts,88,93,Assist,0,3883.0,1
172,21,M,PhD,88,Arts,88,94,Assoc,0,3996.0,2
173,21,M,PhD,88,Arts,88,95,Assoc,0,4171.0,2
174,22,M,PhD,93,Other,93,93,Assist,0,4676.0,1
175,22,M,PhD,93,Other,93,94,Assist,0,4676.0,1
176,22,M,PhD,93,Other,93,95,Assist,0,4881.0,1
177,23,M,PhD,70,Other,70,76,Full,0,2601.818,3
178,23,M,PhD,70,Other,70,77,Full,0,2990.411,3
179,23,M,PhD,70,Other,70,78,Full,0,3195.522,3
180,23,M,PhD,70,Other,70,79,Full,0,3556.0,3
181,23,M,PhD,70,Other,70,80,Full,0,3897.0,3
182,23,M,PhD,70,Other,70,81,Full,0,4358.0,3
183,23,M,PhD,70,Other,70,82,Full,0,4681.0,3
184,23,M,PhD,70,Other,70,84,Full,0,5199.0,3
185,23,M,PhD,70,Other,70,85,Full,0,5199.0,3
186,23,M,PhD,70,Other,70,86,Full,0,6730.0,3
187,23,M,PhD,70,Other,70,87,Full,0,7067.0,3
188,23,M,PhD,70,Other,70,88,Full,0,7377.0,3
189,23,M,PhD,70,Other,70,89,Full,0,8122.0,3
190,23,M,PhD,70,Other,70,90,Full,0,8748.0,3
191,23,M,PhD,70,Other,70,91,Full,0,9420.0,3
192,23,M,PhD,70,Other,70,92,Full,0,9974.0,3
193,23,M,PhD,70,Other,70,93,Full,0,10411.0,3
194,23,M,PhD,70,Other,70,94,Full,0,10411.0,3
195,23,M,PhD,70,Other,70,95,Full,0,10867.0,3
196,24,M,PhD,76,Prof,83,83,Assoc,0,3985.0,2
197,24,M,PhD,76,Prof,83,84,Assoc,0,4195.0,2
198,24,M,PhD,76,Prof,83,85,Assoc,0,4195.0,2
199,24,M,PhD,76,Prof,83,86,Full,0,5354.0,3
200,24,M,PhD,76,Prof,83,87,Full,0,5623.0,3
201,24,M,PhD,76,Prof,83,88,Full,0,5953.0,3
202,24,M,PhD,76,Prof,83,89,Full,0,6462.0,3
203,24,M,PhD,76,Prof,83,90,Full,0,7583.0,3
204,24,M,PhD,76,Prof,83,91,Full,0,8049.0,3
205,24,M,PhD,76,Prof,83,92,Full,0,8402.0,3
206,24,M,PhD,76,Prof,83,93,Full,0,8770.0,3
207,24,M,PhD,76,Prof,83,94,Full,0,8770.0,3
208,24,M,PhD,76,Prof,83,95,Full,0,9420.0,3
209,26,M,PhD,67,Other,71,76,Assoc,0,1908.772,2
210,26,M,PhD,67,Other,71,77,Assoc,0,2097.0,2
211,26,M,PhD,67,Other,71,78,Assoc,0,2176.0,2
212,26,M,PhD,67,Other,71,79,Assoc,0,2454.0,2
213,26,M,PhD,67,Other,71,80,Assoc,0,2642.0,2
214,26,M,PhD,67,Other,71,81,Assoc,0,2838.0,2
215,26,M,PhD,67,Other,71,82,Assoc,0,2920.0,2
216,26,M,PhD,67,Other,71,83,Assoc,0,3081.0,2
217,26,M,PhD,67,Other,71,84,Assoc,0,3484.0,2
218,26,M,PhD,67,Other,71,85,Full,0,3586.0,3
219,26,M,PhD,67,Other,71,86,Full,0,4023.0,3
220,26,M,PhD,67,Other,71,87,Full,0,4225.0,3
221,26,M,PhD,67,Other,71,88,Full,0,4410.0,3
222,26,M,PhD,67,Other,71,89,Full,0,4718.0,3
223,26,M,PhD,67,Other,71,90,Full,0,4800.0,3
224,26,M,PhD,67,Other,71,91,Full,0,4881.0,3
225,26,M,PhD,67,Other,71,92,Full,0,4881.0,3
226,26,M,PhD,67,Other,71,93,Full,0,4951.0,3
227,26,M,PhD,67,Other,71,94,Full,0,4951.0,3
228,26,M,PhD,67,Other,71,95,Full,0,5022.0,3
229,28,M,PhD,92,Prof,93,93,Assist,0,3828.0,1
230,28,M,PhD,92,Prof,93,94,Assist,0,3828.0,1
231,28,M,PhD,92,Prof,93,95,Assist,0,4292.0,1
232,29,M,PhD,80,Other,81,81,Assist,0,1985.0,1
233,29,M,PhD,80,Other,81,85,Assist,0,3223.0,1
234,29,M,PhD,80,Other,81,86,Assist,0,3341.0,1
235,29,M,PhD,80,Other,81,87,Assoc,0,3610.0,2
236,29,M,PhD,80,Other,81,88,Assoc,0,3715.0,2
237,29,M,PhD,80,Other,81,89,Assoc,0,4032.0,2
238,29,M,PhD,80,Other,81,90,Assoc,0,4281.0,2
239,29,M,PhD,80,Other,81,91,Assoc,0,4480.0,2
240,29,M,PhD,80,Other,81,92,Assoc,0,4676.0,2
241,29,M,PhD,80,Other,81,93,Assoc,0,4812.0,2
242,29,M,PhD,80,Other,81,94,Assoc,0,4812.0,2
243,29,M,PhD,80,Other,81,95,Assoc,0,5022.0,2
244,30,M,PhD,78,Other,87,87,Assoc,0,3873.0,2
245,30,M,PhD,78,Other,87,88,Assoc,0,3986.0,2
246,30,M,PhD,78,Other,87,89,Assoc,0,4450.0,2
247,30,M,PhD,78,Other,87,90,Assoc,0,4933.0,2
248,30,M,PhD,78,Other,87,91,Full,0,5624.0,3
249,30,M,PhD,78,Other,87,92,Full,0,6040.0,3
250,30,M,PhD,78,Other,87,93,Full,0,6216.0,3
251,30,M,PhD,78,Other,87,94,Full,0,6216.0,3
252,30,M,PhD,78,Other,87,95,Full,0,6488.0,3
253,31,M,PhD,86,Other,90,90,Assist,0,4220.0,1
254,31,M,PhD,86,Other,90,91,Assist,0,4292.0,1
255,31,M,PhD,86,Other,90,92,Assist,0,4416.0,1
256,31,M,PhD,86,Other,90,93,Assist,0,4610.0,1
257,31,M,PhD,86,Other,90,94,Assoc,0,4743.0,2
258,31,M,PhD,86,Other,90,95,Assoc,0,5022.0,2
261,35,M,PhD,64,Other,65,76,Full,1,3246.0,3
262,35,M,PhD,64,Other,65,77,Full,1,3563.636,3
263,35,M,PhD,64,Other,65,78,Full,0,3672.0,3
264,35,M,PhD,64,Other,65,79,Full,0,4009.0,3
265,35,M,PhD,64,Other,65,80,Full,0,4276.0,3
266,35,M,PhD,64,Other,65,81,Full,0,4681.0,3
267,35,M,PhD,64,Other,65,82,Full,0,5006.061,3
268,35,M,PhD,64,Other,65,83,Full,0,5229.0,3
269,35,M,PhD,64,Other,65,84,Full,0,5504.0,3
270,35,M,PhD,64,Other,65,85,Full,0,5504.0,3
271,35,M,PhD,64,Other,65,86,Full,0,6002.0,3
272,35,M,PhD,64,Other,65,87,Full,0,6304.0,3
273,35,M,PhD,64,Other,65,88,Full,0,6394.0,3
274,35,M,PhD,64,Other,65,89,Full,0,6842.0,3
275,35,M,PhD,64,Other,65,90,Full,0,7162.0,3
276,35,M,PhD,64,Other,65,91,Full,0,7494.0,3
277,35,M,PhD,64,Other,65,92,Full,0,7712.0,3
278,35,M,PhD,64,Other,65,93,Full,0,7935.0,3
279,35,M,PhD,64,Other,65,94,Full,0,7935.0,3
280,35,M,PhD,64,Other,65,95,Full,0,8165.0,3
281,36,M,PhD,67,Prof,73,76,Assoc,1,2052.0,2
282,36,M,PhD,67,Prof,73,77,Assoc,1,2296.0,2
283,36,M,PhD,67,Prof,73,78,Assoc,1,2501.333,2
284,36,M,PhD,67,Prof,73,79,Assoc,1,2850.0,2
285,36,M,PhD,67,Prof,73,80,Assoc,1,3153.333,2
286,36,M,PhD,67,Prof,73,81,Assoc,0,3500.0,2
287,36,M,PhD,67,Prof,73,82,Assoc,0,3517.0,2
288,36,M,PhD,67,Prof,73,83,Assoc,0,3764.0,2
289,36,M,PhD,67,Prof,73,84,Assoc,0,3962.0,2
290,36,M,PhD,67,Prof,73,85,Assoc,0,3962.0,2
291,36,M,PhD,67,Prof,73,86,Assoc,0,4081.0,2
292,36,M,PhD,67,Prof,73,87,Assoc,0,4285.0,2
293,36,M,PhD,67,Prof,73,88,Full,0,4603.0,3
294,36,M,PhD,67,Prof,73,89,Full,0,5068.0,3
295,36,M,PhD,67,Prof,73,90,Full,0,5617.0,3
296,36,M,PhD,67,Prof,73,91,Full,0,6135.0,3
297,36,M,PhD,67,Prof,73,92,Full,0,6313.0,3
298,36,M,PhD,67,Prof,73,93,Full,0,6404.0,3
299,36,M,PhD,67,Prof,73,94,Full,0,6404.0,3
300,36,M,PhD,67,Prof,73,95,Full,0,6684.0,3
301,37,F,PhD,93,Other,93,93,Assist,0,4112.0,1
302,37,F,PhD,93,Other,93,94,Assist,0,4112.0,1
303,37,F,PhD,93,Other,93,95,Assist,0,4292.0,1
305,40,M,PhD,62,Other,70,76,Full,0,2810.0,3
306,40,M,PhD,62,Other,70,77,Full,0,3202.0,3
307,40,M,PhD,62,Other,70,78,Full,0,3434.0,3
308,40,M,PhD,62,Other,70,79,Full,0,3906.0,3
309,40,M,PhD,62,Other,70,80,Full,0,4169.0,3
310,40,M,PhD,62,Other,70,81,Full,0,4548.0,3
311,40,M,PhD,62,Other,70,82,Full,0,4548.0,3
312,40,M,PhD,62,Other,70,83,Full,0,4798.0,3
313,40,M,PhD,62,Other,70,84,Full,0,4981.0,3
314,40,M,PhD,62,Other,70,85,Full,0,4981.0,3
315,40,M,PhD,62,Other,70,86,Full,0,5431.0,3
316,40,M,PhD,62,Other,70,87,Full,0,5703.0,3
317,40,M,PhD,62,Other,70,88,Full,0,6039.0,3
318,40,M,PhD,62,Other,70,89,Full,0,6555.0,3
319,40,M,PhD,62,Other,70,90,Full,0,6861.0,3
320,40,M,PhD,62,Other,70,91,Full,0,7283.0,3
321,40,M,PhD,62,Other,70,92,Full,0,7388.0,3
322,40,M,PhD,62,Other,70,93,Full,0,7494.0,3
323,40,M,PhD,62,Other,70,94,Full,0,7494.0,3
324,40,M,PhD,62,Other,70,95,Full,0,7712.0,3
325,41,M,PhD,66,Other,66,76,Full,0,2171.0,3
326,41,M,PhD,66,Other,66,77,Full,0,2482.0,3
327,41,M,PhD,66,Other,66,78,Full,0,2671.0,3
328,41,M,PhD,66,Other,66,79,Full,0,2986.0,3
329,41,M,PhD,66,Other,66,80,Full,0,3239.0,3
330,41,M,PhD,66,Other,66,81,Full,0,3619.403,3
331,41,M,PhD,66,Other,66,82,Full,0,3723.0,3
332,41,M,PhD,66,Other,66,83,Full,0,3928.0,3
333,41,M,PhD,66,Other,66,84,Full,0,4195.0,3
334,41,M,PhD,66,Other,66,85,Full,0,4195.0,3
335,41,M,PhD,66,Other,66,86,Full,0,4321.0,3
336,41,M,PhD,66,Other,66,87,Full,0,4538.0,3
337,41,M,PhD,66,Other,66,88,Full,0,4669.0,3
338,41,M,PhD,66,Other,66,89,Full,0,4996.0,3
339,41,M,PhD,66,Other,66,90,Full,0,5229.0,3
340,41,M,PhD,66,Other,66,91,Full,0,5794.0,3
341,41,M,PhD,66,Other,66,92,Full,0,6135.0,3
342,41,M,PhD,66,Other,66,93,Full,0,6404.0,3
343,41,M,PhD,66,Other,66,94,Full,0,6404.478,3
344,41,M,PhD,66,Other,66,95,Full,0,7361.0,3
345,42,M,PhD,88,Prof,88,88,Assist,0,4603.0,1
346,42,M,PhD,88,Prof,88,89,Assist,0,4651.0,1
347,42,M,PhD,88,Prof,88,90,Assist,0,5229.0,1
348,42,M,PhD,88,Prof,88,91,Assist,0,5631.0,1
349,42,M,PhD,88,Prof,88,92,Assist,0,5878.0,1
350,42,M,PhD,88,Prof,88,93,Assoc,0,6223.0,2
351,42,M,PhD,88,Prof,88,94,Assoc,0,6223.0,2
352,42,M,PhD,88,Prof,88,95,Assoc,0,6684.0,2
354,45,F,PhD,69,Arts,83,83,Assist,0,2154.0,1
355,45,F,PhD,69,Arts,83,84,Assist,0,2368.0,1
356,45,F,PhD,69,Arts,83,85,Assist,0,2368.0,1
357,45,F,PhD,69,Arts,83,86,Assist,0,2735.0,1
358,45,F,PhD,69,Arts,83,87,Assist,0,2872.0,1
359,45,F,PhD,69,Arts,83,88,Assist,0,2955.0,1
360,45,F,PhD,69,Arts,83,89,Assoc,0,3596.0,2
361,45,F,PhD,69,Arts,83,90,Assoc,0,3711.0,2
362,45,F,PhD,69,Arts,83,91,Assoc,0,4053.0,2
363,45,F,PhD,69,Arts,83,92,Assoc,0,4171.0,2
364,45,F,PhD,69,Arts,83,93,Assoc,0,4231.0,2
365,45,F,PhD,69,Arts,83,94,Assoc,0,4231.0,2
366,45,F,PhD,69,Arts,83,95,Assoc,0,4353.0,2
367,46,M,PhD,77,Arts,87,87,Assist,0,3361.0,1
368,46,M,PhD,77,Arts,87,88,Assist,0,3361.0,1
369,46,M,PhD,77,Arts,87,89,Assoc,0,4269.0,2
370,46,M,PhD,77,Arts,87,90,Assoc,0,4405.0,2
371,46,M,PhD,77,Arts,87,91,Assoc,1,4610.0,2
372,46,M,PhD,77,Arts,87,92,Assoc,1,4812.0,2
373,46,M,PhD,77,Arts,87,93,Full,1,5242.0,3
374,46,M,PhD,77,Arts,87,94,Full,0,5242.0,3
375,46,M,PhD,77,Arts,87,95,Full,0,5394.0,3
376,47,M,PhD,68,Other,68,76,Assoc,0,1838.0,2
377,47,M,PhD,68,Other,68,77,Assoc,0,2096.0,2
378,47,M,PhD,68,Other,68,78,Assoc,0,2278.788,2
379,47,M,PhD,68,Other,68,79,Assoc,0,2540.0,2
380,47,M,PhD,68,Other,68,80,Assoc,0,2732.0,2
381,47,M,PhD,68,Other,68,81,Assoc,0,2962.0,2
382,47,M,PhD,68,Other,68,82,Assoc,0,2962.0,2
383,47,M,PhD,68,Other,68,83,Assoc,0,3125.0,2
384,47,M,PhD,68,Other,68,84,Full,0,3586.0,3
385,47,M,PhD,68,Other,68,85,Full,0,3586.0,3
386,47,M,PhD,68,Other,68,86,Full,0,4023.0,3
387,47,M,PhD,68,Other,68,87,Full,0,4225.0,3
388,47,M,PhD,68,Other,68,88,Full,0,4347.0,3
389,47,M,PhD,68,Other,68,89,Full,0,4718.0,3
390,47,M,PhD,68,Other,68,90,Full,0,4939.0,3
391,47,M,PhD,68,Other,68,91,Full,0,5095.0,3
392,47,M,PhD,68,Other,68,92,Full,0,5168.0,3
393,47,M,PhD,68,Other,68,93,Full,0,5318.0,3
394,47,M,PhD,68,Other,68,94,Full,0,5318.0,3
395,47,M,PhD,68,Other,68,95,Full,0,5712.0,3
396,48,M,PhD,56,Other,90,90,Full,0,11155.0,3
397,48,M,PhD,56,Other,90,91,Full,0,11840.0,3
398,48,M,PhD,56,Other,90,92,Full,0,12184.0,3
399,48,M,PhD,56,Other,90,93,Full,0,12537.0,3
400,48,M,PhD,56,Other,90,94,Full,0,12537.0,3
401,48,M,PhD,56,Other,90,95,Full,0,13086.0,3
402,49,M,PhD,71,Other,73,76,Assist,0,1683.0,1
403,49,M,PhD,71,Other,73,77,Assist,0,1828.0,1
404,49,M,PhD,71,Other,73,78,Assoc,0,2019.0,2
405,49,M,PhD,71,Other,73,79,Assoc,0,2314.925,2
406,49,M,PhD,71,Other,73,80,Assoc,0,2552.0,2
407,49,M,PhD,71,Other,73,81,Assoc,0,2798.0,2
408,49,M,PhD,71,Other,73,82,Assoc,0,2798.0,2
409,49,M,PhD,71,Other,73,83,Assoc,0,2952.0,2
410,49,M,PhD,71,Other,73,84,Assoc,0,3243.0,2
411,49,M,PhD,71,Other,73,85,Assoc,0,3243.0,2
412,49,M,PhD,71,Other,73,86,Assoc,0,3537.0,2
413,49,M,PhD,71,Other,73,87,Full,0,3822.0,3
414,49,M,PhD,71,Other,73,88,Full,0,4047.0,3
415,49,M,PhD,71,Other,73,89,Full,0,4456.0,3
416,49,M,PhD,71,Other,73,90,Full,0,4664.0,3
417,49,M,PhD,71,Other,73,91,Full,0,5095.0,3
418,49,M,PhD,71,Other,73,92,Full,0,5242.0,3
419,49,M,PhD,71,Other,73,93,Full,0,5318.0,3
420,49,M,PhD,71,Other,73,94,Full,0,5318.0,3
421,49,M,PhD,71,Other,73,95,Full,0,5472.0,3
422,51,M,PhD,58,Other,62,76,Full,0,2685.0,3
423,51,M,PhD,58,Other,62,77,Full,0,2888.0,3
424,51,M,PhD,58,Other,62,78,Full,0,3021.0,3
425,51,M,PhD,58,Other,62,79,Full,0,3297.015,3
426,51,M,PhD,58,Other,62,80,Full,0,3597.0,3
427,51,M,PhD,58,Other,62,81,Full,0,3943.0,3
428,51,M,PhD,58,Other,62,82,Full,0,4000.0,3
429,51,M,PhD,58,Other,62,83,Full,0,4220.0,3
430,51,M,PhD,58,Other,62,84,Full,0,4505.0,3
431,51,M,PhD,58,Other,62,85,Full,0,4505.0,3
432,51,M,PhD,58,Other,62,86,Full,0,4641.0,3
433,51,M,PhD,58,Other,62,87,Full,0,4874.0,3
434,51,M,PhD,58,Other,62,88,Full,0,4944.0,3
435,51,M,PhD,58,Other,62,89,Full,0,5366.0,3
436,51,M,PhD,58,Other,62,90,Full,0,5617.0,3
437,51,M,PhD,58,Other,62,91,Full,0,5878.0,3
438,51,M,PhD,58,Other,62,92,Full,0,6048.0,3
439,51,M,PhD,58,Other,62,93,Full,0,6223.0,3
440,51,M,PhD,58,Other,62,94,Full,0,6223.0,3
441,51,M,PhD,58,Other,62,95,Full,0,6496.0,3
442,52,M,PhD,81,Other,89,89,Assist,0,5068.0,1
