id,sex,deg,yrdeg,field,startyr,first_associate_year,ever_promoted,associate_cohort_bin,assoc_year_centered,promotion_year,salary_at_promotion
220,F,PhD,73,Other,73,80,1,"(75, 80]",-4.300813008130078,85,2931.0
225,M,PhD,74,Other,79,81,1,"(80, 85]",-3.3008130081300777,86,3909.0
228,M,PhD,72,Other,75,80,1,"(75, 80]",-4.300813008130078,85,3636.0
233,M,PhD,71,Prof,76,76,1,"(75, 80]",-8.300813008130078,81,3307.463
236,F,PhD,72,Other,74,81,1,"(80, 85]",-3.3008130081300777,86,3745.0
239,M,PhD,70,Other,78,82,1,"(80, 85]",-2.3008130081300777,93,6223.0
243,M,PhD,78,Prof,78,84,1,"(80, 85]",-0.3008130081300777,92,6684.0
244,M,PhD,64,Other,67,76,1,"(75, 80]",-8.300813008130078,79,3032.0
246,M,PhD,73,Other,75,78,1,"(75, 80]",-6.300813008130078,83,3357.0
247,M,PhD,75,Arts,81,85,1,"(80, 85]",0.6991869918699223,92,5631.0
250,F,PhD,70,Arts,73,76,1,"(75, 80]",-8.300813008130078,81,3112.0
252,M,PhD,84,Prof,84,89,1,"(85, 90]",4.699186991869922,94,7078.0
256,M,PhD,67,Other,70,76,1,"(75, 80]",-8.300813008130078,83,3310.0
261,F,PhD,70,Other,72,84,1,"(80, 85]",-0.3008130081300777,91,4945.0
269,M,PhD,76,Other,80,84,1,"(80, 85]",-0.3008130081300777,88,4944.0
271,M,PhD,75,Other,80,85,1,"(80, 85]",0.6991869918699223,90,4844.776
291,M,PhD,78,Prof,81,84,1,"(80, 85]",-0.3008130081300777,89,6940.0
295,M,PhD,72,Prof,72,78,1,"(75, 80]",-6.300813008130078,88,4731.0
296,M,PhD,72,Other,80,80,1,"(75, 80]",-4.300813008130078,82,4235.0
298,M,PhD,76,Prof,84,84,1,"(80, 85]",-0.3008130081300777,90,5947.0
299,F,PhD,77,Arts,76,84,1,"(80, 85]",-0.3008130081300777,93,5878.0
300,M,PhD,64,Prof,67,76,1,"(75, 80]",-8.300813008130078,77,2543.077
302,F,PhD,58,Arts,68,76,1,"(75, 80]",-8.300813008130078,87,3559.0
305,M,PhD,73,Other,70,76,1,"(75, 80]",-8.300813008130078,79,2917.0
306,M,PhD,70,Other,78,79,1,"(75, 80]",-5.300813008130078,84,3962.0
309,F,PhD,73,Other,75,81,1,"(80, 85]",-3.3008130081300777,86,4023.0
312,F,PhD,81,Other,86,89,1,"(85, 90]",4.699186991869922,93,5242.0
315,F,PhD,81,Arts,85,89,1,"(85, 90]",4.699186991869922,94,5095.0
320,M,PhD,67,Other,69,76,1,"(75, 80]",-8.300813008130078,78,2256.0
324,M,PhD,64,Arts,67,76,1,"(75, 80]",-8.300813008130078,81,3667.0
325,M,PhD,71,Other,75,80,1,"(75, 80]",-4.300813008130078,84,3197.0
327,M,PhD,65,Other,67,76,1,"(75, 80]",-8.300813008130078,77,2216.0
328,M,PhD,73,Arts,73,79,1,"(75, 80]",-5.300813008130078,88,3877.0
331,M,PhD,68,Other,68,76,1,"(75, 80]",-8.300813008130078,78,2337.0
339,M,PhD,71,Other,79,79,1,"(75, 80]",-5.300813008130078,82,2917.0
340,M,PhD,68,Prof,76,79,1,"(75, 80]",-5.300813008130078,90,4155.0
341,M,PhD,77,Prof,77,81,1,"(80, 85]",-3.3008130081300777,85,4256.0
344,M,PhD,71,Other,73,78,1,"(75, 80]",-6.300813008130078,85,2931.0
349,F,PhD,59,Other,71,76,1,"(75, 80]",-8.300813008130078,82,3417.0
350,M,PhD,69,Prof,76,76,1,"(75, 80]",-8.300813008130078,80,2732.0
351,M,PhD,74,Other,71,78,1,"(75, 80]",-6.300813008130078,85,4626.0
356,M,PhD,72,Other,72,76,1,"(75, 80]",-8.300813008130078,80,2761.0
360,M,PhD,83,Prof,87,89,1,"(85, 90]",4.699186991869922,92,6590.0
361,M,PhD,72,Other,74,80,1,"(75, 80]",-4.300813008130078,85,3434.0
364,M,PhD,71,Other,71,76,1,"(75, 80]",-8.300813008130078,88,4347.0
365,M,PhD,67,Other,73,76,1,"(75, 80]",-8.300813008130078,79,3344.776
368,M,PhD,79,Other,79,85,1,"(80, 85]",0.6991869918699223,92,5318.0
380,F,PhD,74,Other,80,85,1,"(80, 85]",0.6991869918699223,92,4806.0
387,F,PhD,76,Other,79,85,1,"(80, 85]",0.6991869918699223,91,4875.0
390,M,PhD,76,Prof,83,86,1,"(85, 90]",1.6991869918699223,91,6496.0
394,M,PhD,68,Other,80,80,1,"(75, 80]",-4.300813008130078,81,4000.0
396,M,PhD,71,Arts,72,76,1,"(75, 80]",-8.300813008130078,77,2216.0
397,F,PhD,74,Other,74,80,1,"(75, 80]",-4.300813008130078,87,4410.0
398,M,PhD,81,Other,87,88,1,"(85, 90]",3.6991869918699223,91,5242.0
405,M,PhD,74,Prof,75,79,1,"(75, 80]",-5.300813008130078,83,3125.0
407,M,PhD,79,Other,86,88,1,"(85, 90]",3.6991869918699223,91,5712.0
411,M,PhD,73,Other,76,78,1,"(75, 80]",-6.300813008130078,84,3795.0
417,M,PhD,70,Other,79,79,1,"(75, 80]",-5.300813008130078,92,5712.0
418,M,PhD,82,Other,91,91,1,"(90, 95]",6.699186991869922,93,5544.0
419,M,PhD,78,Prof,78,84,1,"(80, 85]",-0.3008130081300777,91,6404.0
422,F,PhD,76,Other,76,82,1,"(80, 85]",-2.3008130081300777,92,5192.0
425,M,PhD,79,Other,87,87,1,"(85, 90]",2.6991869918699223,94,5318.0
426,M,PhD,74,Other,87,87,1,"(85, 90]",2.6991869918699223,91,4166.0
430,M,PhD,69,Prof,75,76,1,"(75, 80]",-8.300813008130078,80,3398.0
438,M,PhD,77,Prof,76,82,1,"(80, 85]",-2.3008130081300777,88,4165.0
443,M,PhD,66,Other,69,76,1,"(75, 80]",-8.300813008130078,79,2627.0
446,M,PhD,75,Other,75,81,1,"(80, 85]",-3.3008130081300777,86,3242.0
450,M,PhD,64,Arts,67,76,1,"(75, 80]",-8.300813008130078,86,3640.0
453,F,PhD,80,Prof,83,88,1,"(85, 90]",3.6991869918699223,94,7078.0
461,M,PhD,77,Other,82,86,1,"(85, 90]",1.6991869918699223,89,4718.0
462,M,PhD,83,Other,82,88,1,"(85, 90]",3.6991869918699223,93,7283.0
463,M,PhD,72,Other,72,77,1,"(75, 80]",-7.300813008130078,83,4096.0
467,M,PhD,69,Other,72,76,1,"(75, 80]",-8.300813008130078,82,2917.0
468,M,PhD,67,Other,66,76,1,"(75, 80]",-8.300813008130078,82,2876.0
473,M,PhD,82,Other,82,90,1,"(85, 90]",5.699186991869922,95,8049.0
475,M,PhD,67,Other,72,76,1,"(75, 80]",-8.300813008130078,82,3275.0
480,M,PhD,70,Other,66,76,1,"(75, 80]",-8.300813008130078,82,3322.0
482,M,PhD,71,Prof,79,79,1,"(75, 80]",-5.300813008130078,83,4220.0
484,M,PhD,80,Other,84,84,1,"(80, 85]",-0.3008130081300777,91,8896.0
492,M,PhD,77,Prof,77,82,1,"(80, 85]",-2.3008130081300777,90,6826.866
494,M,PhD,67,Prof,78,84,1,"(80, 85]",-0.3008130081300777,89,4515.0
496,M,PhD,77,Prof,78,82,1,"(80, 85]",-2.3008130081300777,87,4669.0
498,M,PhD,75,Prof,76,82,1,"(80, 85]",-2.3008130081300777,86,3854.0
500,M,PhD,69,Other,68,76,1,"(75, 80]",-8.300813008130078,93,4812.0
501,M,PhD,82,Other,83,88,1,"(85, 90]",3.6991869918699223,92,9693.0
502,M,PhD,69,Other,74,76,1,"(75, 80]",-8.300813008130078,80,3011.0
503,F,PhD,68,Other,72,80,1,"(75, 80]",-4.300813008130078,86,3741.333
504,F,PhD,81,Arts,89,89,1,"(85, 90]",4.699186991869922,93,5242.0
510,M,PhD,70,Other,73,76,1,"(75, 80]",-8.300813008130078,78,2332.0
512,M,PhD,81,Arts,91,91,1,"(90, 95]",6.699186991869922,93,6590.0
513,M,PhD,83,Other,89,89,1,"(85, 90]",4.699186991869922,93,5394.0
514,F,PhD,74,Other,79,79,1,"(75, 80]",-5.300813008130078,88,6707.0
517,F,PhD,66,Arts,80,85,1,"(80, 85]",0.6991869918699223,94,5168.0
518,M,PhD,78,Prof,78,83,1,"(80, 85]",-1.3008130081300777,89,5763.0
523,M,PhD,74,Prof,76,82,1,"(80, 85]",-2.3008130081300777,86,3854.0
530,M,PhD,73,Prof,78,80,1,"(75, 80]",-4.300813008130078,84,3333.0
532,M,PhD,65,Other,65,76,1,"(75, 80]",-8.300813008130078,79,2917.0
533,M,PhD,73,Other,82,87,1,"(85, 90]",2.6991869918699223,94,5095.0
537,M,PhD,81,Other,83,87,1,"(85, 90]",2.6991869918699223,92,5472.0
540,M,PhD,66,Other,69,76,1,"(75, 80]",-8.300813008130078,78,2514.0
541,M,PhD,69,Other,69,76,1,"(75, 80]",-8.300813008130078,83,3077.0
542,M,PhD,68,Other,78,78,1,"(75, 80]",-6.300813008130078,79,3158.0
547,M,PhD,84,Prof,84,90,1,"(85, 90]",5.699186991869922,95,6878.0
548,M,PhD,72,Other,72,77,1,"(75, 80]",-7.300813008130078,83,2824.0
550,M,PhD,82,Other,82,88,1,"(85, 90]",3.6991869918699223,91,5551.0
551,M,PhD,77,Other,78,82,1,"(80, 85]",-2.3008130081300777,86,6615.0
554,F,PhD,81,Other,84,89,1,"(85, 90]",4.699186991869922,94,7078.0
555,M,PhD,69,Other,68,76,1,"(75, 80]",-8.300813008130078,83,3342.424
558,M,PhD,77,Other,89,89,1,"(85, 90]",4.699186991869922,92,6313.0
561,M,PhD,74,Prof,74,78,1,"(75, 80]",-6.300813008130078,83,3985.0
566,M,PhD,72,Prof,78,80,1,"(75, 80]",-4.300813008130078,84,3381.0
571,F,PhD,69,Other,69,76,1,"(75, 80]",-8.300813008130078,82,3667.0
574,F,PhD,74,Other,74,80,1,"(75, 80]",-4.300813008130078,88,4165.0
576,M,PhD,66,Other,68,76,1,"(75, 80]",-8.300813008130078,79,2540.0
580,M,PhD,77,Prof,86,86,1,"(85, 90]",1.6991869918699223,89,6649.0
581,M,PhD,79,Other,83,88,1,"(85, 90]",3.6991869918699223,92,5318.0
585,M,PhD,69,Other,73,76,1,"(75, 80]",-8.300813008130078,79,2658.209
590,M,PhD,71,Other,76,76,1,"(75, 80]",-8.300813008130078,77,3405.333
594,M,PhD,70,Other,76,76,1,"(75, 80]",-8.300813008130078,90,4405.0
595,M,PhD,68,Other,70,76,1,"(75, 80]",-8.300813008130078,84,3386.0
600,M,PhD,77,Other,77,82,1,"(80, 85]",-2.3008130081300777,86,3966.0
605,F,PhD,74,Prof,86,86,1,"(85, 90]",1.6991869918699223,89,6555.0
607,M,PhD,70,Other,72,76,1,"(75, 80]",-8.300813008130078,80,3498.0
610,M,PhD,74,Other,88,88,1,"(85, 90]",3.6991869918699223,91,4806.0
612,M,PhD,70,Prof,83,83,1,"(80, 85]",-1.3008130081300777,91,6684.0
616,M,PhD,68,Arts,73,76,1,"(75, 80]",-8.300813008130078,84,3636.0
619,F,PhD,70,Prof,73,76,1,"(75, 80]",-8.300813008130078,85,4195.0
621,M,PhD,66,Other,71,76,1,"(75, 80]",-8.300813008130078,78,2719.0
623,M,PhD,73,Arts,72,79,1,"(75, 80]",-5.300813008130078,91,4544.0
624,M,PhD,70,Other,78,81,1,"(80, 85]",-3.3008130081300777,88,3877.0
626,M,PhD,74,Other,85,85,1,"(80, 85]",0.6991869918699223,91,5631.0
633,M,PhD,63,Other,75,83,1,"(80, 85]",-1.3008130081300777,94,5712.0
636,M,PhD,75,Prof,79,82,1,"(80, 85]",-2.3008130081300777,88,4469.0
638,M,PhD,67,Other,67,76,1,"(75, 80]",-8.300813008130078,77,2296.0
639,M,PhD,75,Other,75,84,1,"(80, 85]",-0.3008130081300777,89,4269.0
640,M,PhD,71,Other,71,77,1,"(75, 80]",-7.300813008130078,90,5863.0
644,M,PhD,67,Other,66,76,1,"(75, 80]",-8.300813008130078,81,3217.333
645,M,PhD,65,Other,72,76,1,"(75, 80]",-8.300813008130078,77,2402.0
649,M,PhD,82,Other,84,88,1,"(85, 90]",3.6991869918699223,92,5168.0
653,M,PhD,77,Other,78,81,1,"(80, 85]",-3.3008130081300777,91,7283.0
655,F,PhD,81,Other,83,88,1,"(85, 90]",3.6991869918699223,93,5955.0
660,F,PhD,75,Other,83,83,1,"(80, 85]",-1.3008130081300777,91,4411.0
664,M,PhD,69,Arts,69,76,1,"(75, 80]",-8.300813008130078,81,2642.0
665,M,PhD,67,Other,67,76,1,"(75, 80]",-8.300813008130078,89,5290.0
666,F,PhD,80,Other,80,86,1,"(85, 90]",1.6991869918699223,94,4810.0
669,M,PhD,71,Other,75,80,1,"(75, 80]",-4.300813008130078,85,3742.0
675,M,PhD,59,Arts,61,76,1,"(75, 80]",-8.300813008130078,88,3877.0
677,M,PhD,82,Other,85,87,1,"(85, 90]",2.6991869918699223,90,4869.0
678,F,PhD,71,Other,77,84,1,"(80, 85]",-0.3008130081300777,89,4580.0
679,M,PhD,84,Prof,84,90,1,"(85, 90]",5.699186991869922,95,6878.0
682,M,PhD,69,Other,69,76,1,"(75, 80]",-8.300813008130078,78,2671.0
683,M,PhD,65,Other,62,76,1,"(75, 80]",-8.300813008130078,80,3425.0
685,M,PhD,68,Other,73,76,1,"(75, 80]",-8.300813008130078,78,2378.0
686,F,PhD,81,Other,82,87,1,"(85, 90]",2.6991869918699223,94,4806.0
690,M,PhD,64,Prof,67,76,1,"(75, 80]",-8.300813008130078,87,4225.0
693,M,PhD,85,Prof,87,87,1,"(85, 90]",2.6991869918699223,95,6496.0
695,M,PhD,68,Other,73,76,1,"(75, 80]",-8.300813008130078,86,4321.0
697,M,PhD,80,Prof,80,85,1,"(80, 85]",0.6991869918699223,89,6190.0
703,F,PhD,78,Other,79,85,1,"(80, 85]",0.6991869918699223,93,5394.0
704,F,PhD,78,Other,78,78,1,"(75, 80]",-6.300813008130078,82,3271.0
705,M,PhD,70,Prof,70,78,1,"(75, 80]",-6.300813008130078,83,4731.0
706,M,PhD,82,Prof,82,86,1,"(85, 90]",1.6991869918699223,90,7583.0
707,M,PhD,83,Other,87,87,1,"(85, 90]",2.6991869918699223,94,5878.0
712,M,PhD,83,Prof,83,88,1,"(85, 90]",3.6991869918699223,94,7494.0
713,M,PhD,77,Other,79,82,1,"(80, 85]",-2.3008130081300777,85,3484.0
717,F,PhD,77,Arts,80,86,1,"(85, 90]",1.6991869918699223,93,4812.0
720,M,PhD,66,Arts,66,76,1,"(75, 80]",-8.300813008130078,80,2673.134
721,M,PhD,65,Other,67,76,1,"(75, 80]",-8.300813008130078,78,2460.0
722,M,PhD,77,Other,76,83,1,"(80, 85]",-1.3008130081300777,95,4812.0
729,M,PhD,69,Other,70,76,1,"(75, 80]",-8.300813008130078,80,2642.0
732,M,PhD,68,Other,66,76,1,"(75, 80]",-8.300813008130078,78,2897.0
742,M,PhD,71,Other,75,76,1,"(75, 80]",-8.300813008130078,81,4053.0
744,M,PhD,76,Other,79,85,1,"(80, 85]",0.6991869918699223,93,5168.0
745,M,PhD,83,Other,91,91,1,"(90, 95]",6.699186991869922,94,7712.0
747,F,PhD,71,Other,77,83,1,"(80, 85]",-1.3008130081300777,89,4269.0
751,M,PhD,65,Prof,67,76,1,"(75, 80]",-8.300813008130078,77,2544.0
754,M,PhD,79,Other,89,89,1,"(85, 90]",4.699186991869922,92,6404.0
757,F,PhD,84,Other,84,89,1,"(85, 90]",4.699186991869922,95,7283.0
758,M,PhD,70,Other,72,76,1,"(75, 80]",-8.300813008130078,83,3455.0
759,M,PhD,67,Arts,67,76,1,"(75, 80]",-8.300813008130078,80,2902.985
760,M,PhD,81,Other,84,88,1,"(85, 90]",3.6991869918699223,92,5318.0
761,F,PhD,81,Prof,88,88,1,"(85, 90]",3.6991869918699223,95,6590.0
763,F,PhD,77,Arts,77,83,1,"(80, 85]",-1.3008130081300777,91,5095.0
766,M,PhD,79,Prof,79,85,1,"(80, 85]",0.6991869918699223,90,6297.0
769,M,PhD,76,Other,77,82,1,"(80, 85]",-2.3008130081300777,93,4286.0
770,M,PhD,67,Other,69,76,1,"(75, 80]",-8.300813008130078,78,2586.0
771,M,PhD,73,Other,74,79,1,"(75, 80]",-5.300813008130078,85,5274.0
776,M,PhD,70,Arts,74,76,1,"(75, 80]",-8.300813008130078,81,3092.0
777,M,PhD,83,Other,88,90,1,"(85, 90]",5.699186991869922,93,8402.0
779,M,PhD,78,Prof,79,84,1,"(80, 85]",-0.3008130081300777,90,6480.0
782,M,PhD,74,Other,78,82,1,"(80, 85]",-2.3008130081300777,87,3715.0
783,M,PhD,80,Other,80,86,1,"(85, 90]",1.6991869918699223,92,4348.0
784,F,PhD,83,Other,83,88,1,"(85, 90]",3.6991869918699223,95,4945.0
788,M,PhD,68,Prof,68,76,1,"(75, 80]",-8.300813008130078,81,3005.0
789,M,PhD,72,Other,72,78,1,"(75, 80]",-6.300813008130078,83,3406.0
794,F,PhD,64,Other,64,76,1,"(75, 80]",-8.300813008130078,81,3005.0
807,M,PhD,71,Prof,76,80,1,"(75, 80]",-4.300813008130078,87,5617.0
808,M,PhD,73,Other,83,83,1,"(80, 85]",-1.3008130081300777,90,4658.0
810,M,PhD,75,Other,75,81,1,"(80, 85]",-3.3008130081300777,92,4881.0
811,M,PhD,73,Other,75,81,1,"(80, 85]",-3.3008130081300777,89,4585.0
820,M,PhD,71,Other,71,76,1,"(75, 80]",-8.300813008130078,80,3240.0
823,F,PhD,71,Other,70,77,1,"(75, 80]",-7.300813008130078,86,3839.394
825,M,PhD,73,Other,76,79,1,"(75, 80]",-5.300813008130078,95,5022.0
828,M,PhD,69,Other,76,79,1,"(75, 80]",-5.300813008130078,85,3534.0
830,F,PhD,73,Other,76,79,1,"(75, 80]",-5.300813008130078,82,3182.0
835,M,PhD,71,Prof,80,80,1,"(75, 80]",-4.300813008130078,87,5537.0
836,F,PhD,82,Other,77,84,1,"(80, 85]",-0.3008130081300777,91,5465.0
837,M,PhD,69,Prof,69,76,1,"(75, 80]",-8.300813008130078,85,4256.0
840,M,PhD,69,Prof,71,77,1,"(75, 80]",-7.300813008130078,84,4100.0
845,M,PhD,69,Other,72,82,1,"(80, 85]",-2.3008130081300777,95,4670.0
847,M,PhD,75,Other,83,83,1,"(80, 85]",-1.3008130081300777,92,5624.0
848,F,PhD,70,Other,74,78,1,"(75, 80]",-6.300813008130078,84,4438.0
852,M,PhD,74,Arts,75,81,1,"(80, 85]",-3.3008130081300777,87,3662.0
854,M,PhD,71,Prof,83,83,1,"(80, 85]",-1.3008130081300777,86,5669.0
855,F,PhD,69,Arts,68,76,1,"(75, 80]",-8.300813008130078,81,2920.0
856,M,PhD,75,Other,76,83,1,"(80, 85]",-1.3008130081300777,87,4598.0
859,M,PhD,68,Other,68,76,1,"(75, 80]",-8.300813008130078,94,4951.0
860,F,PhD,74,Other,77,80,1,"(75, 80]",-4.300813008130078,88,4165.0
863,M,PhD,78,Other,78,84,1,"(80, 85]",-0.3008130081300777,90,7583.0
866,F,PhD,73,Arts,72,79,1,"(75, 80]",-5.300813008130078,83,3092.0
872,M,PhD,59,Other,65,76,1,"(75, 80]",-8.300813008130078,79,2715.0
875,M,PhD,71,Other,74,76,1,"(75, 80]",-8.300813008130078,79,3300.0
878,M,PhD,66,Other,66,76,1,"(75, 80]",-8.300813008130078,93,4676.0
880,M,PhD,65,Other,72,76,1,"(75, 80]",-8.300813008130078,81,2834.0
887,F,PhD,73,Other,73,76,1,"(75, 80]",-8.300813008130078,78,2280.0
892,M,PhD,83,Other,87,90,1,"(85, 90]",5.699186991869922,94,4951.0
895,M,PhD,75,Prof,78,81,1,"(80, 85]",-3.3008130081300777,94,5551.0
898,M,PhD,78,Other,79,86,1,"(85, 90]",1.6991869918699223,92,6396.0
905,M,PhD,67,Other,65,76,1,"(75, 80]",-8.300813008130078,77,2586.0
908,M,PhD,79,Prof,80,87,1,"(85, 90]",2.6991869918699223,93,7283.0
917,M,PhD,72,Other,76,78,1,"(75, 80]",-6.300813008130078,83,3167.0
919,M,PhD,75,Other,88,88,1,"(85, 90]",3.6991869918699223,95,6305.0
920,M,PhD,77,Other,82,88,1,"(85, 90]",3.6991869918699223,95,5168.0
921,M,PhD,77,Prof,77,81,1,"(80, 85]",-3.3008130081300777,85,4317.0
924,M,PhD,82,Other,85,88,1,"(85, 90]",3.6991869918699223,95,5538.0
925,F,PhD,77,Other,78,78,1,"(75, 80]",-6.300813008130078,84,3790.0
927,M,PhD,79,Prof,91,91,1,"(90, 95]",6.699186991869922,95,7078.0
929,M,PhD,67,Other,70,76,1,"(75, 80]",-8.300813008130078,81,3369.0
930,M,PhD,65,Prof,67,76,1,"(75, 80]",-8.300813008130078,78,2378.0
939,M,PhD,68,Arts,60,76,1,"(75, 80]",-8.300813008130078,86,3909.0
944,M,PhD,68,Arts,69,77,1,"(75, 80]",-7.300813008130078,85,3586.0
955,M,PhD,72,Prof,72,79,1,"(75, 80]",-5.300813008130078,84,3059.0
957,M,PhD,71,Other,73,76,1,"(75, 80]",-8.300813008130078,80,2824.0
958,M,PhD,80,Other,80,86,1,"(85, 90]",1.6991869918699223,93,5794.0
967,M,PhD,70,Arts,67,76,1,"(75, 80]",-8.300813008130078,80,3398.0
969,M,PhD,74,Prof,81,81,1,"(80, 85]",-3.3008130081300777,95,7602.0
