case,id,sex,deg,yrdeg,field,startyr,year,rank,admin,salary,first_associate_year,promotion_year
97,14,M,PhD,79,Other,92,93,Assoc,0,8770.0,92,94
98,14,M,PhD,79,Other,92,94,Full,0,9025.0,92,94
99,14,M,PhD,79,Other,92,95,Full,0,9477.0,92,94
105,16,M,PhD,73,Other,79,79,Assist,0,1889.0,82,89
106,16,M,PhD,73,Other,79,80,Assist,0,2037.0,82,89
107,16,M,PhD,73,Other,79,81,Assist,0,2323.0,82,89
108,16,M,PhD,73,Other,79,82,Assoc,0,2425.0,82,89
109,16,M,PhD,73,Other,79,83,Assoc,0,3619.0,82,89
110,16,M,PhD,73,Other,79,84,Assoc,0,3742.0,82,89
111,16,M,PhD,73,Other,79,85,Assoc,0,3742.0,82,89
112,16,M,PhD,73,Other,79,86,Assoc,0,4081.0,82,89
113,16,M,PhD,73,Other,79,87,Assoc,0,4286.0,82,89
114,16,M,PhD,73,Other,79,88,Assoc,0,4538.0,82,89
115,16,M,PhD,73,Other,79,89,Full,0,5290.0,82,89
116,16,M,PhD,73,Other,79,90,Full,0,6480.0,82,89
117,16,M,PhD,73,Other,79,91,Full,0,6977.0,82,89
118,16,M,PhD,73,Other,79,92,Full,0,7180.0,82,89
119,16,M,PhD,73,Other,79,93,Full,0,7602.0,82,89
120,16,M,PhD,73,Other,79,94,Full,0,7602.0,82,89
121,16,M,PhD,73,Other,79,95,Full,0,7935.0,82,89
122,17,M,PhD,72,Other,72,76,Assist,0,1773.0,77,83
123,17,M,PhD,72,Other,72,77,Assoc,0,2019.0,77,83
124,17,M,PhD,72,Other,72,78,Assoc,0,2176.0,77,83
125,17,M,PhD,72,Other,72,79,Assoc,0,2411.0,77,83
126,17,M,PhD,72,Other,72,80,Assoc,0,2552.0,77,83
127,17,M,PhD,72,Other,72,81,Assoc,0,2758.0,77,83
128,17,M,PhD,72,Other,72,82,Assoc,0,2838.0,77,83
129,17,M,PhD,72,Other,72,83,Full,0,2994.0,77,83
130,17,M,PhD,72,Other,72,84,Full,0,3197.0,77,83
131,17,M,PhD,72,Other,72,85,Full,0,3197.0,77,83
132,17,M,PhD,72,Other,72,86,Full,0,3293.0,77,83
133,17,M,PhD,72,Other,72,87,Full,0,3458.0,77,83
134,17,M,PhD,72,Other,72,88,Full,0,3877.0,77,83
135,17,M,PhD,72,Other,72,89,Full,0,4520.0,77,83
136,17,M,PhD,72,Other,72,90,Full,0,4731.0,77,83
137,17,M,PhD,72,Other,72,91,Full,0,5168.0,77,83
138,17,M,PhD,72,Other,72,92,Full,0,5318.0,77,83
139,17,M,PhD,72,Other,72,93,Full,0,5394.0,77,83
140,17,M,PhD,72,Other,72,94,Full,0,5394.0,77,83
141,17,M,PhD,72,Other,72,95,Full,0,5472.0,77,83
142,18,M,PhD,67,Prof,69,76,Assoc,0,2180.0,76,79
143,18,M,PhD,67,Prof,69,77,Assoc,0,1915.0,76,79
144,18,M,PhD,67,Prof,69,79,Full,0,2610.0,76,79
145,18,M,PhD,67,Prof,69,81,Full,0,3178.0,76,79
146,18,M,PhD,67,Prof,69,82,Full,0,3365.0,76,79
147,18,M,PhD,67,Prof,69,83,Full,0,3550.0,76,79
148,18,M,PhD,67,Prof,69,84,Full,0,4013.0,76,79
149,18,M,PhD,67,Prof,69,85,Full,0,4013.0,76,79
150,18,M,PhD,67,Prof,69,86,Full,0,4908.0,76,79
151,18,M,PhD,67,Prof,69,87,Full,0,5155.0,76,79
152,18,M,PhD,67,Prof,69,88,Full,0,5305.0,76,79
153,18,M,PhD,67,Prof,69,89,Full,0,5756.0,76,79
154,18,M,PhD,67,Prof,69,90,Full,0,6025.0,76,79
155,18,M,PhD,67,Prof,69,91,Full,0,6305.0,76,79
156,18,M,PhD,67,Prof,69,92,Full,0,6581.0,76,79
157,18,M,PhD,67,Prof,69,93,Full,0,6772.0,76,79
158,18,M,PhD,67,Prof,69,94,Full,0,6772.0,76,79
159,18,M,PhD,67,Prof,69,95,Full,0,7069.0,76,79
196,24,M,PhD,76,Prof,83,83,Assoc,0,3985.0,83,86
197,24,M,PhD,76,Prof,83,84,Assoc,0,4195.0,83,86
198,24,M,PhD,76,Prof,83,85,Assoc,0,4195.0,83,86
199,24,M,PhD,76,Prof,83,86,Full,0,5354.0,83,86
200,24,M,PhD,76,Prof,83,87,Full,0,5623.0,83,86
201,24,M,PhD,76,Prof,83,88,Full,0,5953.0,83,86
202,24,M,PhD,76,Prof,83,89,Full,0,6462.0,83,86
203,24,M,PhD,76,Prof,83,90,Full,0,7583.0,83,86
204,24,M,PhD,76,Prof,83,91,Full,0,8049.0,83,86
205,24,M,PhD,76,Prof,83,92,Full,0,8402.0,83,86
206,24,M,PhD,76,Prof,83,93,Full,0,8770.0,83,86
207,24,M,PhD,76,Prof,83,94,Full,0,8770.0,83,86
208,24,M,PhD,76,Prof,83,95,Full,0,9420.0,83,86
209,26,M,PhD,67,Other,71,76,Assoc,0,1908.772,76,85
210,26,M,PhD,67,Other,71,77,Assoc,0,2097.0,76,85
211,26,M,PhD,67,Other,71,78,Assoc,0,2176.0,76,85
212,26,M,PhD,67,Other,71,79,Assoc,0,2454.0,76,85
213,26,M,PhD,67,Other,71,80,Assoc,0,2642.0,76,85
214,26,M,PhD,67,Other,71,81,Assoc,0,2838.0,76,85
215,26,M,PhD,67,Other,71,82,Assoc,0,2920.0,76,85
216,26,M,PhD,67,Other,71,83,Assoc,0,3081.0,76,85
217,26,M,PhD,67,Other,71,84,Assoc,0,3484.0,76,85
218,26,M,PhD,67,Other,71,85,Full,0,3586.0,76,85
219,26,M,PhD,67,Other,71,86,Full,0,4023.0,76,85
220,26,M,PhD,67,Other,71,87,Full,0,4225.0,76,85
221,26,M,PhD,67,Other,71,88,Full,0,4410.0,76,85
222,26,M,PhD,67,Other,71,89,Full,0,4718.0,76,85
223,26,M,PhD,67,Other,71,90,Full,0,4800.0,76,85
224,26,M,PhD,67,Other,71,91,Full,0,4881.0,76,85
225,26,M,PhD,67,Other,71,92,Full,0,4881.0,76,85
226,26,M,PhD,67,Other,71,93,Full,0,4951.0,76,85
227,26,M,PhD,67,Other,71,94,Full,0,4951.0,76,85
228,26,M,PhD,67,Other,71,95,Full,0,5022.0,76,85
244,30,M,PhD,78,Other,87,87,Assoc,0,3873.0,87,91
245,30,M,PhD,78,Other,87,88,Assoc,0,3986.0,87,91
246,30,M,PhD,78,Other,87,89,Assoc,0,4450.0,87,91
247,30,M,PhD,78,Other,87,90,Assoc,0,4933.0,87,91
248,30,M,PhD,78,Other,87,91,Full,0,5624.0,87,91
249,30,M,PhD,78,Other,87,92,Full,0,6040.0,87,91
250,30,M,PhD,78,Other,87,93,Full,0,6216.0,87,91
251,30,M,PhD,78,Other,87,94,Full,0,6216.0,87,91
252,30,M,PhD,78,Other,87,95,Full,0,6488.0,87,91
281,36,M,PhD,67,Prof,73,76,Assoc,1,2052.0,76,88
282,36,M,PhD,67,Prof,73,77,Assoc,1,2296.0,76,88
283,36,M,PhD,67,Prof,73,78,Assoc,1,2501.333,76,88
284,36,M,PhD,67,Prof,73,79,Assoc,1,2850.0,76,88
285,36,M,PhD,67,Prof,73,80,Assoc,1,3153.333,76,88
286,36,M,PhD,67,Prof,73,81,Assoc,0,3500.0,76,88
287,36,M,PhD,67,Prof,73,82,Assoc,0,3517.0,76,88
288,36,M,PhD,67,Prof,73,83,Assoc,0,3764.0,76,88
289,36,M,PhD,67,Prof,73,84,Assoc,0,3962.0,76,88
290,36,M,PhD,67,Prof,73,85,Assoc,0,3962.0,76,88
291,36,M,PhD,67,Prof,73,86,Assoc,0,4081.0,76,88
292,36,M,PhD,67,Prof,73,87,Assoc,0,4285.0,76,88
293,36,M,PhD,67,Prof,73,88,Full,0,4603.0,76,88
294,36,M,PhD,67,Prof,73,89,Full,0,5068.0,76,88
295,36,M,PhD,67,Prof,73,90,Full,0,5617.0,76,88
296,36,M,PhD,67,Prof,73,91,Full,0,6135.0,76,88
297,36,M,PhD,67,Prof,73,92,Full,0,6313.0,76,88
298,36,M,PhD,67,Prof,73,93,Full,0,6404.0,76,88
299,36,M,PhD,67,Prof,73,94,Full,0,6404.0,76,88
300,36,M,PhD,67,Prof,73,95,Full,0,6684.0,76,88
367,46,M,PhD,77,Arts,87,87,Assist,0,3361.0,89,93
368,46,M,PhD,77,Arts,87,88,Assist,0,3361.0,89,93
369,46,M,PhD,77,Arts,87,89,Assoc,0,4269.0,89,93
370,46,M,PhD,77,Arts,87,90,Assoc,0,4405.0,89,93
371,46,M,PhD,77,Arts,87,91,Assoc,1,4610.0,89,93
372,46,M,PhD,77,Arts,87,92,Assoc,1,4812.0,89,93
373,46,M,PhD,77,Arts,87,93,Full,1,5242.0,89,93
374,46,M,PhD,77,Arts,87,94,Full,0,5242.0,89,93
375,46,M,PhD,77,Arts,87,95,Full,0,5394.0,89,93
376,47,M,PhD,68,Other,68,76,Assoc,0,1838.0,76,84
377,47,M,PhD,68,Other,68,77,Assoc,0,2096.0,76,84
378,47,M,PhD,68,Other,68,78,Assoc,0,2278.788,76,84
379,47,M,PhD,68,Other,68,79,Assoc,0,2540.0,76,84
380,47,M,PhD,68,Other,68,80,Assoc,0,2732.0,76,84
381,47,M,PhD,68,Other,68,81,Assoc,0,2962.0,76,84
382,47,M,PhD,68,Other,68,82,Assoc,0,2962.0,76,84
383,47,M,PhD,68,Other,68,83,Assoc,0,3125.0,76,84
384,47,M,PhD,68,Other,68,84,Full,0,3586.0,76,84
385,47,M,PhD,68,Other,68,85,Full,0,3586.0,76,84
386,47,M,PhD,68,Other,68,86,Full,0,4023.0,76,84
387,47,M,PhD,68,Other,68,87,Full,0,4225.0,76,84
388,47,M,PhD,68,Other,68,88,Full,0,4347.0,76,84
389,47,M,PhD,68,Other,68,89,Full,0,4718.0,76,84
390,47,M,PhD,68,Other,68,90,Full,0,4939.0,76,84
391,47,M,PhD,68,Other,68,91,Full,0,5095.0,76,84
392,47,M,PhD,68,Other,68,92,Full,0,5168.0,76,84
393,47,M,PhD,68,Other,68,93,Full,0,5318.0,76,84
394,47,M,PhD,68,Other,68,94,Full,0,5318.0,76,84
395,47,M,PhD,68,Other,68,95,Full,0,5712.0,76,84
402,49,M,PhD,71,Other,73,76,Assist,0,1683.0,78,87
403,49,M,PhD,71,Other,73,77,Assist,0,1828.0,78,87
404,49,M,PhD,71,Other,73,78,Assoc,0,2019.0,78,87
405,49,M,PhD,71,Other,73,79,Assoc,0,2314.925,78,87
406,49,M,PhD,71,Other,73,80,Assoc,0,2552.0,78,87
407,49,M,PhD,71,Other,73,81,Assoc,0,2798.0,78,87
408,49,M,PhD,71,Other,73,82,Assoc,0,2798.0,78,87
409,49,M,PhD,71,Other,73,83,Assoc,0,2952.0,78,87
410,49,M,PhD,71,Other,73,84,Assoc,0,3243.0,78,87
411,49,M,PhD,71,Other,73,85,Assoc,0,3243.0,78,87
412,49,M,PhD,71,Other,73,86,Assoc,0,3537.0,78,87
413,49,M,PhD,71,Other,73,87,Full,0,3822.0,78,87
414,49,M,PhD,71,Other,73,88,Full,0,4047.0,78,87
415,49,M,PhD,71,Other,73,89,Full,0,4456.0,78,87
416,49,M,PhD,71,Other,73,90,Full,0,4664.0,78,87
417,49,M,PhD,71,Other,73,91,Full,0,5095.0,78,87
418,49,M,PhD,71,Other,73,92,Full,0,5242.0,78,87
419,49,M,PhD,71,Other,73,93,Full,0,5318.0,78,87
420,49,M,PhD,71,Other,73,94,Full,0,5318.0,78,87
421,49,M,PhD,71,Other,73,95,Full,0,5472.0,78,87
474,58,F,PhD,74,Other,75,76,Assist,0,1624.0,80,84
475,58,F,PhD,74,Other,75,77,Assist,0,1744.0,80,84
476,58,F,PhD,74,Other,75,78,Assist,0,1936.0,80,84
477,58,F,PhD,74,Other,75,79,Assist,0,2196.0,80,84
478,58,F,PhD,74,Other,75,80,Assoc,0,2664.0,80,84
479,58,F,PhD,74,Other,75,81,Assoc,0,3137.0,80,84
480,58,F,PhD,74,Other,75,82,Assoc,0,3275.0,80,84
481,58,F,PhD,74,Other,75,83,Assoc,0,3455.0,80,84
482,58,F,PhD,74,Other,75,84,Full,0,3962.0,80,84
483,58,F,PhD,74,Other,75,85,Full,0,3962.0,80,84
484,58,F,PhD,74,Other,75,86,Full,0,4510.0,80,84
485,58,F,PhD,74,Other,75,87,Full,0,4736.0,80,84
486,58,F,PhD,74,Other,75,88,Full,0,4944.0,80,84
487,58,F,PhD,74,Other,75,89,Full,0,5366.0,80,84
488,58,F,PhD,74,Other,75,90,Full,0,6764.0,80,84
489,58,F,PhD,74,Other,75,91,Full,0,6878.0,80,84
490,58,F,PhD,74,Other,75,92,Full,0,7078.0,80,84
491,58,F,PhD,74,Other,75,93,Full,0,7283.0,80,84
492,58,F,PhD,74,Other,75,94,Full,0,7283.0,80,84
493,58,F,PhD,74,Other,75,95,Full,0,7494.0,80,84
515,61,M,PhD,76,Other,84,84,Assoc,0,3434.0,84,87
516,61,M,PhD,76,Other,84,85,Assoc,0,3667.0,84,87
517,61,M,PhD,76,Other,84,86,Assoc,0,4383.0,84,87
518,61,M,PhD,76,Other,84,87,Full,0,4736.0,84,87
519,61,M,PhD,76,Other,84,88,Full,0,4736.0,84,87
520,61,M,PhD,76,Other,84,89,Full,0,6370.0,84,87
521,61,M,PhD,76,Other,84,90,Full,0,6480.0,84,87
522,61,M,PhD,76,Other,84,91,Full,0,6878.0,84,87
523,61,M,PhD,76,Other,84,92,Full,0,7078.0,84,87
524,61,M,PhD,76,Other,84,93,Full,0,7388.0,84,87
525,61,M,PhD,76,Other,84,94,Full,0,7388.0,84,87
526,61,M,PhD,76,Other,84,95,Full,0,8283.0,84,87
553,64,M,PhD,64,Other,65,76,Assoc,0,2196.0,76,78
554,64,M,PhD,64,Other,65,77,Assoc,0,2638.0,76,78
555,64,M,PhD,64,Other,65,78,Full,0,3156.0,76,78
556,64,M,PhD,64,Other,65,79,Full,0,3459.0,76,78
557,64,M,PhD,64,Other,65,80,Full,0,3852.0,76,78
558,64,M,PhD,64,Other,65,81,Full,0,4485.0,76,78
559,64,M,PhD,64,Other,65,82,Full,1,4817.0,76,78
560,64,M,PhD,64,Other,65,83,Full,0,5133.333,76,78
561,64,M,PhD,64,Other,65,84,Full,1,5997.0,76,78
562,64,M,PhD,64,Other,65,85,Full,1,5997.0,76,78
563,64,M,PhD,64,Other,65,86,Full,1,6827.0,76,78
564,64,M,PhD,64,Other,65,87,Full,1,7169.0,76,78
565,64,M,PhD,64,Other,65,88,Full,1,7591.0,76,78
566,64,M,PhD,64,Other,65,89,Full,1,8239.0,76,78
567,64,M,PhD,64,Other,65,90,Full,0,8748.0,76,78
568,64,M,PhD,64,Other,65,91,Full,0,9286.0,76,78
569,64,M,PhD,64,Other,65,92,Full,0,9420.0,76,78
570,64,M,PhD,64,Other,65,93,Full,0,9693.0,76,78
571,64,M,PhD,64,Other,65,94,Full,0,9693.0,76,78
572,64,M,PhD,64,Other,65,95,Full,0,9974.0,76,78
584,66,M,PhD,75,Prof,77,77,Assist,0,1834.0,81,87
585,66,M,PhD,75,Prof,77,78,Assist,0,2019.0,81,87
586,66,M,PhD,75,Prof,77,79,Assist,0,2243.0,81,87
587,66,M,PhD,75,Prof,77,80,Assist,0,2507.0,81,87
588,66,M,PhD,75,Prof,77,81,Assoc,0,2920.0,81,87
589,66,M,PhD,75,Prof,77,82,Assoc,0,3260.606,81,87
590,66,M,PhD,75,Prof,77,83,Assoc,0,3710.0,81,87
591,66,M,PhD,75,Prof,77,84,Assoc,0,4256.0,81,87
592,66,M,PhD,75,Prof,77,85,Assoc,0,4256.0,81,87
593,66,M,PhD,75,Prof,77,86,Assoc,0,5129.0,81,87
594,66,M,PhD,75,Prof,77,87,Full,0,5543.0,81,87
595,66,M,PhD,75,Prof,77,88,Full,0,5786.0,81,87
596,66,M,PhD,75,Prof,77,89,Full,0,6462.0,81,87
597,66,M,PhD,75,Prof,77,90,Full,0,7162.0,81,87
598,66,M,PhD,75,Prof,77,91,Full,0,7494.0,81,87
599,66,M,PhD,75,Prof,77,92,Full,0,7823.0,81,87
600,66,M,PhD,75,Prof,77,93,Full,0,8049.0,81,87
601,66,M,PhD,75,Prof,77,94,Full,0,8049.0,81,87
602,66,M,PhD,75,Prof,77,95,Full,0,8165.0,81,87
611,68,M,PhD,77,Other,83,83,Assoc,0,3455.0,83,89
612,68,M,PhD,77,Other,83,84,Assoc,0,3852.0,83,89
613,68,M,PhD,77,Other,83,85,Assoc,0,4704.0,83,89
614,68,M,PhD,77,Other,83,86,Assoc,0,4844.0,83,89
615,68,M,PhD,77,Other,83,87,Assoc,0,5087.0,83,89
616,68,M,PhD,77,Other,83,88,Assoc,0,5464.0,83,89
617,68,M,PhD,77,Other,83,89,Full,0,6649.0,83,89
618,68,M,PhD,77,Other,83,90,Full,0,7060.0,83,89
619,68,M,PhD,77,Other,83,91,Full,0,7935.0,83,89
620,68,M,PhD,77,Other,83,92,Full,0,8402.0,83,89
621,68,M,PhD,77,Other,83,93,Full,0,8646.0,83,89
622,68,M,PhD,77,Other,83,94,Full,0,8646.0,83,89
623,68,M,PhD,77,Other,83,95,Full,0,9128.0,83,89
695,74,M,PhD,71,Other,72,76,Assoc,0,1743.0,76,82
696,74,M,PhD,71,Other,72,77,Assoc,0,1980.0,76,82
697,74,M,PhD,71,Other,72,78,Assoc,0,2097.0,76,82
698,74,M,PhD,71,Other,72,79,Assoc,0,2285.0,76,82
699,74,M,PhD,71,Other,72,80,Assoc,0,2507.0,76,82
700,74,M,PhD,71,Other,72,81,Assoc,0,2758.0,76,82
701,74,M,PhD,71,Other,72,82,Full,0,3005.0,76,82
702,74,M,PhD,71,Other,72,83,Full,0,3170.0,76,82
703,74,M,PhD,71,Other,72,84,Full,0,3386.0,76,82
704,74,M,PhD,71,Other,72,85,Full,0,3386.0,76,82
705,74,M,PhD,71,Other,72,86,Full,0,3909.0,76,82
706,74,M,PhD,71,Other,72,87,Full,0,5556.0,76,82
707,74,M,PhD,71,Other,72,88,Full,0,5556.0,76,82
708,74,M,PhD,71,Other,72,89,Full,0,5931.0,76,82
709,74,M,PhD,71,Other,72,90,Full,0,6297.0,76,82
710,74,M,PhD,71,Other,72,91,Full,0,6496.0,76,82
711,74,M,PhD,71,Other,72,92,Full,0,6684.0,76,82
712,74,M,PhD,71,Other,72,93,Full,0,6878.0,76,82
713,74,M,PhD,71,Other,72,94,Full,0,6878.0,76,82
714,74,M,PhD,71,Other,72,95,Full,0,7180.0,76,82
715,75,M,PhD,72,Other,71,76,Assoc,0,2245.0,76,83
716,75,M,PhD,72,Other,71,77,Assoc,0,2461.194,76,83
717,75,M,PhD,72,Other,71,78,Assoc,0,2584.0,76,83
718,75,M,PhD,72,Other,71,79,Assoc,0,2842.0,76,83
719,75,M,PhD,72,Other,71,80,Assoc,0,3077.0,76,83
720,75,M,PhD,72,Other,71,81,Assoc,0,3517.0,76,83
721,75,M,PhD,72,Other,71,82,Assoc,0,3777.0,76,83
722,75,M,PhD,72,Other,71,83,Full,0,4468.0,76,83
723,75,M,PhD,72,Other,71,84,Full,0,5125.0,76,83
724,75,M,PhD,72,Other,71,85,Full,0,5125.0,76,83
725,75,M,PhD,72,Other,71,86,Full,0,6447.0,76,83
726,75,M,PhD,72,Other,71,87,Full,0,6771.0,76,83
727,75,M,PhD,72,Other,71,88,Full,0,7169.0,76,83
728,75,M,PhD,72,Other,71,89,Full,0,8122.0,76,83
729,75,M,PhD,72,Other,71,90,Full,1,8748.0,76,83
730,75,M,PhD,72,Other,71,91,Full,1,9286.0,76,83
731,75,M,PhD,72,Other,71,92,Full,1,9693.0,76,83
732,75,M,PhD,72,Other,71,93,Full,0,10118.0,76,83
733,75,M,PhD,72,Other,71,94,Full,0,10118.0,76,83
734,75,M,PhD,72,Other,71,95,Full,0,10442.0,76,83
806,82,M,PhD,65,Other,69,76,Assoc,0,2018.0,76,78
807,82,M,PhD,65,Other,69,77,Assoc,0,2216.0,76,78
808,82,M,PhD,65,Other,69,78,Full,0,2419.0,76,78
809,82,M,PhD,65,Other,69,79,Full,0,2671.0,76,78
810,82,M,PhD,65,Other,69,80,Full,0,2869.0,76,78
811,82,M,PhD,65,Other,69,81,Full,0,3137.0,76,78
812,82,M,PhD,65,Other,69,82,Full,0,3228.0,76,78
813,82,M,PhD,65,Other,69,83,Full,0,3406.0,76,78
814,82,M,PhD,65,Other,69,84,Full,0,3851.0,76,78
815,82,M,PhD,65,Other,69,85,Full,1,3851.0,76,78
816,82,M,PhD,65,Other,69,86,Full,1,4575.0,76,78
817,82,M,PhD,65,Other,69,87,Full,1,4805.0,76,78
818,82,M,PhD,65,Other,69,88,Full,0,5015.0,76,78
819,82,M,PhD,65,Other,69,89,Full,0,5522.0,76,78
820,82,M,PhD,65,Other,69,90,Full,0,5752.239,76,78
821,82,M,PhD,65,Other,69,91,Full,0,6048.0,76,78
822,82,M,PhD,65,Other,69,92,Full,1,6590.0,76,78
823,82,M,PhD,65,Other,69,93,Full,1,6781.0,76,78
824,82,M,PhD,65,Other,69,94,Full,1,6781.0,76,78
825,82,M,PhD,65,Other,69,95,Full,1,7180.0,76,78
838,84,M,PhD,82,Arts,83,83,Assist,0,2186.0,89,95
839,84,M,PhD,82,Arts,83,84,Assist,0,2401.0,89,95
840,84,M,PhD,82,Arts,83,85,Assist,0,2401.0,89,95
841,84,M,PhD,82,Arts,83,87,Assist,0,2998.0,89,95
842,84,M,PhD,82,Arts,83,88,Assist,0,3085.0,89,95
843,84,M,PhD,82,Arts,83,89,Assoc,0,3596.0,89,95
844,84,M,PhD,82,Arts,83,90,Assoc,0,3818.0,89,95
845,84,M,PhD,82,Arts,83,91,Assoc,0,4112.0,89,95
846,84,M,PhD,82,Arts,83,92,Assoc,0,5318.0,89,95
847,84,M,PhD,82,Arts,83,93,Assoc,0,5318.0,89,95
848,84,M,PhD,82,Arts,83,94,Assoc,0,5318.0,89,95
849,84,M,PhD,82,Arts,83,95,Full,0,5712.0,89,95
960,94,M,PhD,64,Prof,58,76,Assoc,0,1982.0,76,77
961,94,M,PhD,64,Prof,58,77,Full,0,2256.0,76,77
962,94,M,PhD,64,Prof,58,78,Full,0,2378.0,76,77
963,94,M,PhD,64,Prof,58,79,Full,0,2671.0,76,77
964,94,M,PhD,64,Prof,58,80,Full,0,2869.0,76,77
965,94,M,PhD,64,Prof,58,81,Full,0,3275.0,76,77
966,94,M,PhD,64,Prof,58,82,Full,0,3417.0,76,77
967,94,M,PhD,64,Prof,58,83,Full,0,3658.0,76,77
968,94,M,PhD,64,Prof,58,84,Full,0,3851.0,76,77
969,94,M,PhD,64,Prof,58,85,Full,0,3851.0,76,77
970,94,M,PhD,64,Prof,58,86,Full,0,3966.0,76,77
971,94,M,PhD,64,Prof,58,87,Full,0,4165.0,76,77
972,94,M,PhD,64,Prof,58,88,Full,0,4165.0,76,77
973,94,M,PhD,64,Prof,58,89,Full,0,5068.0,76,77
974,94,M,PhD,64,Prof,58,90,Full,0,5698.0,76,77
975,94,M,PhD,64,Prof,58,91,Full,0,6223.0,76,77
976,94,M,PhD,64,Prof,58,92,Full,0,6223.0,76,77
977,94,M,PhD,64,Prof,58,93,Full,0,6223.0,76,77
978,94,M,PhD,64,Prof,58,94,Full,0,6223.0,76,77
979,94,M,PhD,64,Prof,58,95,Full,0,6223.0,76,77
1034,100,M,PhD,74,Arts,75,76,Assist,0,1563.0,80,84
1035,100,M,PhD,74,Arts,75,77,Assist,0,1791.0,80,84
1036,100,M,PhD,74,Arts,75,78,Assist,0,1904.0,80,84
1037,100,M,PhD,74,Arts,75,79,Assist,0,2079.0,80,84
1038,100,M,PhD,74,Arts,75,80,Assoc,0,2247.0,80,84
1039,100,M,PhD,74,Arts,75,81,Assoc,0,2413.433,80,84
1040,100,M,PhD,74,Arts,75,82,Assoc,0,2425.0,80,84
1041,100,M,PhD,74,Arts,75,83,Assoc,0,2633.0,80,84
1042,100,M,PhD,74,Arts,75,84,Full,0,3337.0,80,84
1043,100,M,PhD,74,Arts,75,85,Full,0,3337.0,80,84
1044,100,M,PhD,74,Arts,75,86,Full,0,3640.0,80,84
1045,100,M,PhD,74,Arts,75,87,Full,0,3822.0,80,84
1046,100,M,PhD,74,Arts,75,88,Full,0,4105.0,80,84
1047,100,M,PhD,74,Arts,75,89,Full,0,4651.0,80,84
1048,100,M,PhD,74,Arts,75,90,Full,0,5010.0,80,84
1049,100,M,PhD,74,Arts,75,91,Full,0,5242.0,80,84
1050,100,M,PhD,74,Arts,75,92,Full,0,5394.0,80,84
1051,100,M,PhD,74,Arts,75,93,Full,0,5551.0,80,84
1052,100,M,PhD,74,Arts,75,94,Full,1,5551.0,80,84
1053,100,M,PhD,74,Arts,75,95,Full,1,5794.0,80,84
1069,102,M,PhD,73,Other,72,76,Assist,0,1803.0,78,84
1070,102,M,PhD,73,Other,72,77,Assist,0,2019.0,78,84
1071,102,M,PhD,73,Other,72,78,Assoc,0,2176.0,78,84
1072,102,M,PhD,73,Other,72,80,Assoc,0,3278.0,78,84
